交易代号,交易名称,证券名称,市值（百万元）,板块,GTI 得分
YK9,YKGI ,友記,54.4,Cyclical Consumer Services,
5PC,Goodland ,良园,52.805,Real Estate,61
BKX,Yongmao ,永茂,52.736,Industrial Goods,71
Q0X,Ley Choon ,立堾,52.702,Industrial & Commercial Services,69
EHG,Econ Healthcare ,宜康医疗保健,52.685,Healthcare Services,51
40V,Alset,Alset,52.391,Real Estate,79
BVP,AIMS Property ,AIMS房地产,51.865,Real Estate,
O9E,Parkson Retail ,百盛零售亚洲,51.475,Retailers,76
S9B,Amcorp Global ,大马环球,51.391,Real Estate,74
A55,Asia Enterprises ,亚洲企业,51.288,Mineral Resources,61
C05,Chemical Ind ,化学工业,50.883,Chemicals,60
1Y1,9R,9R,50.485,Industrial Goods,50
5G1,EuroSports Gbl ,EuroSports环球,50.35,Retailers,84
BKA,Sin Heng Mach ,新兴重型机械,49.977,Industrial Goods,75
BTJ,A-Sonic Aero ,A-SONIC宇航,49.876,Transportation,47
T55,TIH,TIH,49.546,Collective Investments,64
BIP,Vibrant Group ,辉联,48.857,Transportation,60
5PD,Hengyang Petro ,恒阳石化物流,48.766,Energy - Fossil Fuels,52
Y8E,Samurai 2K,Samurai 2K,47.199,Chemicals,69
E27,The Place Hldg ,天阶,47.045,Holding Companies,42
42L,Taka Jewellery,Taka Jewellery,46.937,Retailers,69
BHU,SUTL Enterprise ,SUTL企业,46.911,Cyclical Consumer Services,69
ZKX,Ever Glory ,恒荣,46.585,Industrial & Commercial Services,
BTG,HG Metal ,福源金属制造,46.367,Mineral Resources,55
S29,Stamford Tyres ,添福胶胎,46.29,Automobiles & Auto Parts,88
B26,Ban Leong ,万隆科技,46.287,Technology Equipment,71
SK3,KrisEnergy ,KRIS能源,45.631,Energy - Fossil Fuels,78
BFI,Tiong Seng ,长成,45.503,Industrial & Commercial Services,
1R6,Avi-Tech Hldg,Avi-Tech Hldg,45.327,Technology Equipment,
AWG,Ascent Bridge ,礼仕时,45.041,Mineral Resources,46
GRQ,Don Agro,Don Agro,44.33,Food & Beverages,43
5I1,KOP ,高鸿,44.318,Cyclical Consumer Services,73
5UO,Sysma,Sysma,44.109,Industrial & Commercial Services,53
DRX,ST Group Food,ST Group Food,43.472,Cyclical Consumer Services,78
O08,Ossia Intl ,奥斯国际,42.947,Retailers,55
1D4,Aoxin Q & M ,奥新全民口腔,42.891,Healthcare Services,82
B69,Broadway Ind ,大道工业,42.472,Industrial Goods,45
KJ5,BBR ,BBR,41.563,Industrial & Commercial Services,66
PA3,TA ,长益,41.445,Real Estate,59
WPC,Vallianz,Vallianz,40.973,Transportation,68
NLC,5E Resources ,綠科資源,40.285,Industrial & Commercial Services,
EB7,KTL Global ,KTL环球,40.267,Cyclical Consumer Services,57
BEI,LHT ,联合木业,40.2,Applied Resources,78
