isin,market,segment.translations.others,instrumentType.originalValue,instrumentType,securityType,originCountryCode,originCountry,industrySector.originalValue,industrySector,sector,subsector
DK0060448595,Open Market,,1002,Common shares,Registered share,DK,Denmark,51,Chemistry/pharmacy,,
DE0007830572,Open Market,Scale,1002,Common shares,Bearer share,DE,Germany,130,Construction/ construction materials,Industrial,Renewable Energies
DE000A0JC8S7,Open Market,Scale,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Software,IT-Services
NL0012059018,Open Market,,1002,Common shares,Bearer share,NL,Netherlands ,900,Foreign shares,,
FR0000130809,Open Market,,1002,Common shares,Bearer share,FR,France,81,Bank/insurance,,
US46120E6023,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
US8725901040,Open Market,,1002,Common shares,Registered share,US,USA,173,Telecommunication Services,,
DE000A1K0201,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,180,Holding companies,Industrial,"Industrial, Diversified"
US1921085049,Open Market,,1002,Common shares,Registered share,US,USA,110,"Non-ferrous metals, wire plantsand cabels",,
US36467W1099,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
US6821891057,Open Market,,1002,Common shares,Registered share,US,USA,91,Automotive and mechanical engineering,,
DE000A2GSU42,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,180,Holding companies,Technology,Information Technology
DE000A0XFWK2,Open Market,,1002,Common shares,Bearer share,DE,Germany,172,Software,,
GB00BDR05C01,Open Market,,1002,Common shares,Registered share,GB,Great Britain,900,Foreign shares,,
US8085131055,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
FR0000052292,Open Market,,1002,Common shares,Bearer share,FR,France,180,Holding companies,,
FI4000297767,Open Market,,1002,Common shares,Registered share,FI,Finland,81,Bank/insurance,,
US55087P1049,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
DE0001218063,Open Market,Basic Board,1002,Common shares,Registered share,DE,Germany,190,Other german shares,Financial Services,Securities Brokers
DE0005765507,Open Market,,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,,
DE000FPH9000,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,180,Holding companies,Industrial,Industrial Machinery
US9497461015,Open Market,,1002,Common shares,Registered share,US,USA,81,Bank/insurance,,
DE000A0STSQ8,Open Market,Basic Board,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Pharma & Healthcare,Health Care
DE000A3CM708,Open Market,,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,,
AT0000A00Y78,Regulated Market,Prime Standard,1002,Common shares,Bearer share,AT,Austria,900,Foreign shares,Basic Resources,Oil & Gas
CH0396131929,Open Market,,1002,Common shares,Bearer share,CH,Switzerland,900,Foreign shares,,
US3755581036,Open Market,,1002,Common shares,Registered share,US,USA,51,Chemistry/pharmacy,,
US7181721090,Open Market,,1002,Common shares,Registered share,US,USA,150,Consumer goods/food/breweries/paper,,
US0028241000,Open Market,,1002,Common shares,Registered share,US,USA,51,Chemistry/pharmacy,,
IT0004147952,Open Market,,1002,Common shares,Registered share,IT,Italy,51,Chemistry/pharmacy,,
DE000A1PHBB5,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,61,Electronic engineering,Industrial,Industrial Products & Services
US4385161066,Open Market,,1002,Common shares,Registered share,US,USA,51,Chemistry/pharmacy,,
US3703341046,Open Market,,1002,Common shares,Registered share,US,USA,150,Consumer goods/food/breweries/paper,,
CNE1000031C1,Regulated Market,Prime Standard,1002,Common shares,Registered share,CN,China,900,Foreign shares,Consumer,Household Appliances & Housewares
US83304A1060,Open Market,,1002,Common shares,Registered share,US,USA,174,Internet Service Provider,,
US00287Y1091,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
NL0012969182,Open Market,,1002,Common shares,Registered share,NL,Netherlands ,900,Foreign shares,,
US98980L1017,Open Market,,1002,Common shares,Registered share,US,USA,173,Telecommunication Services,,
US2786421030,Open Market,,1002,Common shares,Registered share,US,USA,171,Trade,,
DE000A2G9MZ9,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,172,Software,Software,IT-Services
US9314271084,Open Market,,1002,Common shares,Registered share,US,USA,180,Holding companies,,
DE000A0MZ4B0,Open Market,Scale,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Industrial,Renewable Energies
DE000A0M93V6,Open Market,Scale,1002,Common shares,Bearer share,DE,Germany,180,Holding companies,Software,Software
US23804L1035,Open Market,,1002,Common shares,Registered share,US,USA,172,Software,,
DE000A3E5A59,Open Market,,1002,Common shares,Registered share,DE,Germany,180,Holding companies,,
ES0148396007,Open Market,,1002,Common shares,Bearer share,ES,Spain,140,Stores,,
US00165C1045,Open Market,,1002,Common shares,Registered share,US,USA,180,Holding companies,,
DE000A2GS625,Open Market,Basic Board,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Financial Services,Real Estate
ES0144580Y14,Open Market,,1002,Common shares,Bearer share,ES,Spain,70,Service/energy,,
DE0007507501,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,180,Holding companies,Industrial,Industrial Machinery
AT0000652011,Open Market,,1002,Common shares,Bearer share,AT,Austria,81,Bank/insurance,,
US3453708600,Open Market,,1002,Common shares,Registered share,US,USA,91,Automotive and mechanical engineering,,
US9311421039,Open Market,,1002,Common shares,Registered share,US,USA,140,Stores,,
US94106L1098,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
GB00B63H8491,Open Market,,1002,Common shares,Registered share,GB,Great Britain,180,Holding companies,,
DE000A14KEB5,Regulated Market,General Standard,1002,Common shares,Bearer share,DE,Germany,171,Trade,Retail,"Retail, Internet"
DE0007201907,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,110,"Non-ferrous metals, wire plantsand cabels",Technology,Semiconductors
DE000A1A6V48,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,172,Software,Software,IT-Services
DE0005494165,Open Market,Scale,1002,Common shares,Registered share,DE,Germany,173,Telecommunication Services,Software,IT-Services
DE0005492938,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,51,Chemistry/pharmacy,Industrial,Industrial Products & Services
ATFREQUENT09,Regulated Market,General Standard,1002,Common shares,Bearer share,AT,Austria,900,Foreign shares,Technology,Communications Technology
NL0000226223,Open Market,,1002,Common shares,Bearer share,NL,Netherlands ,900,Foreign shares,,
DE000A0XYGA7,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,91,Automotive and mechanical engineering,Industrial,Advanced Industrial Equipment
ES0173093024,Open Market,,1002,Common shares,Bearer share,ES,Spain,70,Service/energy,,
FR0000121972,Open Market,,1002,Common shares,Bearer share,FR,France,180,Holding companies,,
US78409V1044,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
DE000A0MSN11,Open Market,Scale,1002,Common shares,Bearer share,DE,Germany,180,Holding companies,Industrial,Advanced Industrial Equipment
DE000A2G8ZX8,Open Market,Scale,1002,Common shares,Registered share,DE,Germany,190,Other german shares,Industrial,Industrial Products & Services
US61945C1036,Open Market,,1002,Common shares,Registered share,US,USA,51,Chemistry/pharmacy,,
DE0005760029,Open Market,,1002,Common shares,Bearer share,DE,Germany,70,Service/energy,,
DE000KC01V16,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,101,Steel,,
US0937121079,Open Market,,1002,Common shares,Registered share,US,USA,61,Electronic engineering,,
DE000A0EQ578,Open Market,Scale,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Consumer,Home Construction & Furnishings
DE000A3E5E55,Regulated Market,General Standard,1002,Common shares,Registered share,DE,Germany,190,Other german shares,Industrial,Containers & Packaging
DE0005137004,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,172,Software,Technology,Communications Technology
US9344231041,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
US00971T1016,Open Market,,1002,Common shares,Registered share,US,USA,172,Software,,
DE0006618309,Open Market,Basic Board,1002,Common shares,Bearer share,DE,Germany,180,Holding companies,Software,IT-Services
US87165B1035,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
US9029733048,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
US9285634021,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
DE000A3CQ7F4,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,171,Trade,Retail,"Retail, Internet"
