logoid,dr_name
huntington-bancshares,亨廷顿银行
hyatt-hotels,凯悦酒店
hyundai,现代
hyundai-heavy-industries,现代重工
hyundai-mobis,现代摩比斯
iberdrola,伊比德罗拉
icahn-enterprises,伊坎企业
icici-bank,印度工业信贷投资银行
icon,ICON
idex,IDEX
idexx-laboratories,IDEXX实验室
ihh,IHH医疗保健
illinois-tool-works,伊利诺伊机械
illumina,Illumina
imperial-brands,帝国烟草
imperial-oil,帝国石油
incyte,因塞特医疗
inditex,Inditex
industrial-and-commercial-bank-of-china,工商银行
industrial-bank-coltd,兴业银行
industries-qatar-qpsc,卡塔尔工业
infineon-technologies,英飞凌
informa,英富曼集团
infosys,Infosys
ing,荷兰国际
ingersoll-rand,英格索兰
inner-mongolia-yili-industrial-coltd,伊利股份
insulet,银休特
intel,英特尔
interactive-brokers-group,盈透证券
intercontinental-exchange,洲际交易所
intercontinental-hotels,洲际酒店
interglobe-aviatio,靛蓝航空
international-bus-mach,IBM国际商业机器
international-flavors-and-fragrances,国际香料香精
international-paper,国际纸业
interpublic-group-cos,埃培智
intesa,联合圣保罗银行
intuit,财捷
intuitive-surgical,直觉外科
investec-ltd,Investec
invitation-homes,Invitation Homes
iqvia,艾昆纬
iron-mountain-incorporated-delaware,铁山
itau-unibanco,伊塔乌联合银行
itochu,伊藤忠商事
jabil,捷普
jacobs-engineering,Jacobs Solutions
james-hardie,詹姆斯哈迪
japan-post,日本邮政
japan-post-bank,日本邮贮银行
japan-tobacco,日本烟草产业
jardine,怡和
ja-solar-technolog,晶澳科技
j-b-hunt,JB亨特运输服务
jd-com,京东
jd-health-international-inc,京东健康
jd-logistics-inc,京东物流
jiangsu-eastern-sh,东方盛虹
jiangsu-hengrui-pharmaceuticals-coltd,恒瑞医药
jiangsu-yanghe-bre,洋河股份
jinko-solar,晶科能源
johnson-and-johnson,强生
johnson-controls,江森自控
joint-stock-commercial-bank-for-foreign-trade-of-vietnam,越南外贸股份商业银行
jpmorgan-chase,摩根大通
jsw,JSW Steel
julius-baer-n,宝盛集团
kakao,Kakao
kansai-electric-power-co,关西电力
kao,花王
kbc-groep-nv,联合银行
kb-financial,KB金融集团
kddi,KDDI株式会社
ke-holdings,贝壳
kellogg,家乐氏
kering,开云(巴黎春天)
keurig-dr-pepper,Keurig Dr Pepper
keycorp,KeyCorp
keyence,基恩士
keysight-technologies,是德科技
kia,起亚
kikkoman,龟甲万
kimberly-clark,金佰利
kimco-realty-hc,金克地产
kinder-morgan,金德摩根
kirin-holdings-company-limited,麒麟啤酒
kkr,KKR &
kla-tencor,科磊
knorr-bremse-ag-inh-o-n,克诺尔集团
komatsu,小松制作所
kone,通力
korea-electric-power,韩国电力
kpn-kon,KPN
kraft-heinz,卡夫亨氏
kroger,克罗格
kuaishou-technology,快手
kubota,久保田
kuehne-nagel,德迅
kyocera,京瓷
kyowa-kirin,协和发酵麒麟
l3-harris,L3Harris Technologies
laboratory-amer,徕博科
lamar-advertising-company,拉马尔户外广告
lamb-weston-hldgs,蓝威斯顿控股
lam-research,拉姆研究
larsen-and-toubro,拉森图博
las-vegas-sands,金沙集团
lattice-semiconductor,莱迪思半导体
legal-and-general,法通保险
legend-biotech,Legend Biotech
leidos-holdings,Leidos Holdings
lennar,莱纳建筑
lennox-international,雷诺士
lenovo,联想集团
lg-energy-solution,LG能源
li,理想汽车
liberty-broadband,Liberty Broadband
liberty-media,Liberty Media Liberty SiriusXM
life-insurance-corporation-of-india,印度人寿
life-storage,Life Storage
lincoln-electric,林肯电气
lindt-n,Lindt
li-ning,李宁
liquide,Air Liquide
lite-on-technology,光宝科
live-nation,Live Nation Entertainment
lkq,LKQ
lloyds,劳埃德银行
lockheed-martin,洛克希德马丁
loews,洛斯保险
logitech-international,罗技
london-stock-exchange,伦敦证券交易所
longfor-group,龙湖集团
longi-green-energy-technology,隆基绿能
lonza-n,龙沙集团
l-oreal,欧莱雅
lowe-s,劳氏
lpl-finl,LPL Financial Holdings
lucid-group,Lucid Group
lufthansa,汉莎航空
lukoil,卢克石油
lululemon-athletica,lululemon athletica
luxshare-precision,立讯精密
luzhou-lao-jiao-co,泸州老窖
lvmh,LVMH
lyondellbasell,利安德巴塞尔工业
m3,M3
macquarie,麦格理银行
magellanlp,麦哲伦油气
magna-international,麦格纳
mahindra,马恒达
malayan-banking,马来亚银行
m-and-t-bank,美国制商银行
manhattan-associates,曼哈顿联合软件
manulife,宏利金融
marathon-oil,马拉松石油
marathon-petroleum,马拉松原油
markel,Markel Group
marriott,万豪国际
marsh-and-mclennan,威达信
martin-marietta,马丁-玛丽埃塔材料
marubeni,丸红
maruti-suzuki-india,马鲁蒂铃木
marvell-tech,迈威尔科技
masco,马斯可木业
mastercard,万事达
match-group-inc,Match Group
mccormick,味好美
mcdonalds,麦当劳
mckesson,麦克森
mediatek,联发科
medtronic,美敦力
mega-financial-holdings,兆丰金
meituan,美团
mengniu-dairy,蒙牛乳业
mercadolibre,MercadoLibre
merck-and-co,默沙东
merck-kgaa,默克集团
meta-platforms,Meta Platforms
metlife,大都会人寿
mettler-toledo-international,梅特勒-托利多
mgm-resorts,美高梅
michelin,米其林
microchip-technology,微芯科技
micron-technology,美光科技
microsoft,微软
mid-america-apartment-communities,MAA房产信托
midea,美的集团
mitsubishi,三菱
mitsubishi-group,三菱日联金融
mitsui-and-co,三井物产
mitsui-fudosan,三井不动产
mizuho,瑞穗金融
mobileye-global,Mobileye Global
moderna,Moderna
molina-healthcare,Molina Healthcare
molson-coors,摩森康胜
moncler,Moncler
mondelez,亿滋国际
mongodb,MongoDB
monolithic-power-system,Monolithic Power Systems
monster-beverage,怪物饮料
moodys,穆迪
morgan-stanley,摩根士丹利
mosaic,美盛
motorola-solutions,摩托罗拉解决方案
moutai,贵州茅台
mplx-lp,MPLX LP
ms-and-ad-insurance-group-holdings,MS&AD保险
msci,明晟
mtr,港铁
munichre,慕尼黑再保险
murata-manufacturing,村田制作所
muyuan-foods-co-lt,牧原股份
nan-ya,南亚
nari-technology,国电南瑞
nasdaq,纳斯达克
naspers,Naspers
national-australia-bank,澳洲国民银行
national-grid,英国国家电网
naturgy,Naturgy
natwest-group,NatWest Group
naura-technology-g,北方华创
naver,Naver
nec,日本电气
neste,纳斯特
nestle,雀巢
netapp,美国网存
netease,网易
netflix,奈飞
new-china-life-ins-co-ltd,新华保险
newmont,纽蒙特
news-corporation,新闻集团
nexon,乐线
next,耐斯特
nextera-energy,新纪元能源
nice,NICE
nidec,尼得科
nike,耐克
nintendo,任天堂
nio,蔚来
nippon-paint-holdings,立邦涂料
nippon-steel-and-sumitomo-metal,日本制铁
nippon-tel,日本电信电话
nippon-yusen-kaisha,日本邮船
nisource,尼索思
nissan,日产
nitori-holdings,宜得利控股
nitto-denko,日东电工
nn-group,NN Group
nokia,诺基亚
nomura,野村控股
nomura-research-institute,野村综合研究所
nongfu-spring-co-ltd,农夫山泉
nordson,诺信
norfolk-southern,诺福克南方
northern-trust,北方信托
northrop-grumman,诺斯罗普-格鲁曼
nortonlifelock,Gen Digital
novartis,诺华
novatek,诺瓦泰克
novo-nordisk,诺和诺德
ntt-data,NTT数据
nucor,纽柯钢铁
nu-holdings,Nu Holdings
nutrien,Nutrien
nvidia,英伟达
nvr,NVR
nxp-semiconductors,恩智浦半导体
obic,OBIC
ocbc,华侨银行
occidental-petroleum,西方石油
okta,Okta
old-dominion,Old Dominion Freight Line
olympus,奥林巴斯
omnicom-group,宏盟集团
omron,欧姆龙
oneok,欧尼克
onesmart-intl-ed-grp,Meta Data
on-holding,On Holding AG
on-semiconductor,安森美半导体
open-text,Open Text
oracle,甲骨文
orange,法国电信
o-reilly-auto,奥莱利
oriental-land-co,东方乐园
orix,欧力士
orsted,沃旭能源
otis-worldwide,Otis Worldwide
otsuka,大冢制药
ovintiv,Ovintiv
owens-corning,欧文斯科宁
paccar,帕卡
packaging-of-america,美国包装
palantir,Palantir Technologies
palo-alto-networks,派拓网络
panasonic,松下电器
paribas,法国巴黎银行
parker-hannifin,派克汉尼汾
partners-n,合众集团
paychex,沛齐
paycom-software,Paycom Software
paylocity,Paylocity Holding
paypal,PayPal Holdings
pembina-pipeline,Pembina Pipeline
penske-automotive-group,潘世奇汽车
pentair,滨特尔
penumbra,Penumbra
pepsico,百事
perkinelmer,Revvity
pernod,保乐力加
petrochina,中国石油
pfizer,辉瑞
pg-and-e,太平洋煤气电力
philip-morris,菲利普莫里斯国际
philips,飞利浦
phillips-66,Phillips 66
picc-property-and-casualty-co,中国财险
pinduoduo,拼多多
ping-an,中国平安
pinterest,Pinterest
pioneer-natural-resources,先锋自然资源
plains-all-american-pipeline-lp,Plains All American Pipeline LP
pnc-financial,PNC金融服务集团
poly-developments-and,保利发展
pool,Pool
porsche-automobil-holding,保时捷
posco,浦项钢铁
