证券代码,证券名称
GDWN,GOODWIN PLC ORD 10P
UC79,UBS ETF UBS ETF MSCI EM SOCIALL
HYFC,INVESCO MARKETS III PLC INVESCO
5HEP,OSSIAM IRL ICAV OSSIAM ETF SHIL
JRGD,JPMORGAN ETFS (IRELAND) ICAV JP
JARI,AMUNDI INDEX SOLUTIONS AMUNDI I
LCNY,WISDOMTREE FOREIGN EXCHANGE LIM
HDGB,VANECK VECTORS UCITS ETFS PLC V
FJPR,FIDELITY UCITS ICAV FIDELITY SU
FEMR,FIDELITY UCITS ICAV FIDELITY SU
GIN,SSGA SPDR ETFS EUROPE II PLC SP
EMSM,SSGA SPDR ETFS EUROPE I PLC SPD
CREI,CUSTODIAN PROPERTY INCOME REIT
0IIB,EQUITY RESIDENTIAL REIT ORD SHS
CW8U,AMUNDI INDEX SOLUTIONS AMUNDI M
FAGR,WISDOMTREE COMMODITY SECURITIES
JREG,JPMORGAN ETFS (IRELAND) ICAV JP
VJPA,VANGUARD FUNDS PLC VANGUARD FTS
TANN,HANETF ICAV SOLAR ENERGY UCITS
SIME,WISDOMTREE COMMODITY SECURITIES
LESW,MULTI UNITS LUXEMBOURG LYXOR MS
HSXJ,HSBC ETFS PLC HSBC APAC EX JAP
XMWD,XTRACKERS X WORLD SWAP 1C
MTRL,SSGA SPDR ETFS EUROPE II PLC SP
HYEA,ISHARES PLC ISHARES GL HYLD CRP
V3MA,VANGUARD FUNDS PLC VGI ESG EM A
LSEG,伦敦证券交易所
EEIE,WISDOMTREE ISSUER PLC  WT EUROP
IJPA,ISHARES III PLC ISHRS CORE MSCI
CSH,CIVITAS SOCIAL HOUSING PLC ORD
RNRG,GLOBAL X ETFS ICAV GLOBAL X REN
JPSR,UBS ETF UBSETF MSCI JAPAN SOC.
CP9G,AMUNDI INDEX SOLUTIONS AMUNDI I
V3AB,VANGUARD FUNDS PLC VANGUARD ESG
SUSW,ISHARES IV PLC ISHARES MSCI WLD
SWPA,SSGA SPDR ETFS EUROPE SPDR MSCI
SPQB,GLOBAL X ETFS ICAV GX S&P 500 Q
EEWD,ISHARES IV PLC ISH MSCI WRLD ES
HPAO,HSBC ETFS PLC HSBC MSCI WORLD C
GPAB,MULTI UNITS LUXEMBOURG LY S&P G
HMWD,HSBC ETFS PLC HSBC MSCI WORLD U
V3PM,VANGUARD FUNDS PLC VGI ESG DEV
EAHG,AMUNDI INDEX SOLUTIONS AM INDEX
HWVL,HSBC ETFS PLC HSBC MSCI WORLD V
MCHN,INVESCO MARKETS II PLC IVZ MSCI
USA,BAILLIE GIFFORD US GROWTH TRUST
XEMG,DB-XTRACKERS X EM NET ZERO PARI
ESGU,INVESCO MARKETS II PLC IVZ MSCI
EUDI,SSGA SPDR ETFS EUROPE I PLC SPD
V3AM,VANGUARD FUNDS PLC VANGUARD ESG
DRVG,GLOBAL X ETFS ICAV GLOBAL X AUT
V3PA,VANGUARD FUNDS PLC VGI ESG DEV
CJPU,ISHARES VII PLC ISHRS MSCI JAPA
XDWL,XTRACKERS (IE) PUBLIC LIMITED C
ITEH,ISHARES V PUBLIC LIMITED COMPAN
WRDU,AMUNDI INDEX SOLUTIONS AMUNDI I
GCP,GCP INFRASTRUCTURE INVESTMENTS
VHVG,VANGUARD FUNDS PLC VANGUARD FTS
DHYA,ISHARES II PLC ISH $HY CB ESG A
IDTL,ISHARES IV PLC ISHS $ TRSRY BD
VHYA,VANGUARD FUNDS PLC VANGUARD FTS
SEIT,SDCL ENERGY EFFICIENCY INCOME T
FNCL,SSGA SPDR ETFS EUROPE II PLC SP
SPUG,SSGA SPDR ETFS EUROPE SPDR MSCI
COFU,UBS AG UBS ETC (CMCI COFFEE) US
GDGB,VANECK VECTORS UCITS ETFS PLC V
XNGS,DB-XTRACKERS X MSCI NG INTERNET
UB0A,UBS (IRL) ETF PLC UBSETF MSCI U
HSJA,HSBC ETFS PLC HSBC JAPAN SUS EQ
XMJD,XTRACKERS X MSCI JAPAN
HPAS,HSBC ETFS PLC HSBC MSCI USA CLI
GRID,GRESHAM HOUSE ENERGY STORAGE FU
HPUS,HSBC ETFS PLC HSBC MSCI USA CL
UCAP,OSSIAM LUX OSSIAM ETF SHILLER B
SMDS,史密斯
BVA,西班牙对外银行
CCUA,UBS (IRL) FUND SOLUTIONS PLC UB
HPRS,HSBC ETFS PLC HSBC FTSE EPRA NA
ESGJ,INVESCO MARKETS II PLC IVZ MSCI
SEMU,AMUNDI ETF LYXOR MSCI SEMICONDU
CSCA,ISHARES VII PLC ISHRS MSCI CANA
TIGT,TROY INCOME & GROWTH TRUST PLC
DTLA,ISHARES IV PLC ISH $ T BND 20+Y
BDEV,巴莱特开发公司
STEM,STHREE PLC ORD 1P
FTWD,INVESCO IVZ FTSE WLD UCITS ETF
FGLR,FIDELITY UCITS ICAV SUSTAIN RES
SIUS,UBS AG UBS ETC (CMCI SILVER) US
ESGO,HANETF ICAV AUAG ESG GOLD MININ
XDWM,XTRACKERS (IE) PUBLIC LIMITED C
NUM,NUMIS CORPORATION PLC ORD 5P
RNRU,GLOBAL X ETFS ICAV GLOBAL X REN
MXWO,INVESCO MARKETS PLC INVESCO MSC
METR,HANETF ICAV ETC GROUP GLOBAL ME
XNZN,DB-XTRACKERS X NORDC NET ZERO P
LIO,LIONTRUST ASSET MANAGEMENT PLC
WESG,MULTI UNITS LUXEMBOURG LYXOR MS
VDEV,VANGUARD FUNDS PLC VANGUARD FTS
SUJP,ISHARES IV PLC ISHARES MSCI JAP
JPEE,ISHARES II PLC ISHARES J.P. MOR
LCAL,MULTI UNITS LUXEMBOURG LYXOR MS
NXTG,FIRST TRUST GLOBAL FUNDS PUBLIC
LGJP,LEGAL & GENERAL UCITS ETF PUBLI
XNZW,DB-XTRACKERS X WORLD NET ZERO P
JPTC,JPMORGAN ETFS (IRELAND) ICAV JP
CYCL,RIZE UCITS ICAV RIZE CIRCULAR E
ZINC,WISDOMTREE COMMODITY SECURITIES
IWDA,ISHARES III PLC ISHRS CORE MSCI
XDWY,XTRACKERS (IE) PUBLIC LIMITED C
XMAW,XTRACKERS (IE) PUBLIC LIMITED C
XZMJ,XTRACKERS (IE) PUBLIC LIMITED C
EEJD,ISHARES IV PLC ISH MSCI JPN ESG
LDME,LEGAL & GENERAL UCITS ETF PLC L
NRJU,AMUNDI ETF LYXOR MSCI NEW ENERG
FVD,FIRST TRUST GLOBAL FUNDS PLC FI
DFEE,WISDOMTREE ISSUER PLC  WT EUROP
PFD,PREMIER FOODS PLC ORD 10P
DGSE,WISDOMTREE ISSUER PLC  WT EMERG
XSCS,XTRACKERS (IE) PUBLIC LIMITED C
XDJP,XTRACKERS X NIKKEI 225
TREG,VANECK VECTORS ETFS N.V. VANECK
V3AL,VANGUARD FUNDS PLC VANGUARD ESG
SPQH,GLOBAL X ETFS ICAV GX S&P 500 Q
EIMI,ISHARES PLC ISHARES CORE EM IMI
SPMV,ISHARES VI PLC ISHRS EDGE S&P 5
HPJS,HSBC ETFS PLC HSBC MSCI JAPAN C
SLFR,SLF REALISATION FUND LIMITED OR
SDWD,ISHARES IV PLC ISH MSCI WORLD E
XMAU,DB-XTRACKERS X MSCI ACW ESG SCR
BBDD,JPMORGAN ETFS (IRELAND) ICAV JP
UB23,UBS ETF UBS ETF MSCI CANADA (CA
PHSP,WISDOMTREE METAL SECURITIES WIS
CAPU,OSSIAM LUX OSSIAM ETF SHILLER B
HSJD,HSBC ETFS PLC HSBC JAPAN SUSTAI
SEMG,AMUNDI ETF LYXOR MSCI SEMICONDU
HCAN,HSBC ETFS PLC HSBC MSCI CANADA
MVUS,ISHARES VI PLC ISHRS EDGE S&P 5
NXTU,FIRST TRUST GLOBAL FUNDS PUBLIC
QDFD,FLEXSHARES ICAV FLEXSHARES EQUI
WTNR,WISDOMTREE WISDOMTREE NEW ECON
DARK,DARKTRACE PLC ORD GBP0.01
WCOD,SSGA SPDR ETFS EUROPE II PLC SP
JPX4,AMUNDI INDEX SOLUTIONS AMUNDI I
TANP,HANETF ICAV SOLAR ENERGY UCITS
IDAR,ISHARES II PLC ISHRS ASIA PROPE
VWRD,VANGUARD FUNDS PLC VANGUARD FTS
XNGI,DB-XTRACKERS X MSCI NG INTERNET
0HL9,AFFIMED ORD SHS
IUCD,ISHARES V PUBLIC LIMITED COMPAN
LCUS,MULTI UNITS LUXEMBOURG LYXOR CO
AWSR,UBS (IRL) ETF PLC UBS ETF ACWI
I500,ISHARES VI PLC ISH S&P500 SWAP
GFOF,HANETF ICAV GRAYSCALE FUTURE OF
IDWP,ISHARES II PLC ISHRS DEV MRKTS
NRJC,AMUNDI ETF LYXOR NEW ENERGY (DR
MER,MEARS GROUP PLC ORD 1P
CP9U,AMUNDI INDEX SOLUTIONS AMUNDI I
ESGP,HANETF ICAV AUAG ESG GOLD MININ
IWDG,ISHARES III PLC ISHARES MSCI WO
HWDC,HSBC ETFS PLC HSBC MSCI WORLD U
IDNA,ISHARES PLC ISHS MSCI N.AMERICA
VUSA,VANGUARD FUNDS PLC VANGUARD S&P
HPRA,HSBC ETFS PLC HSBC FTSE EPRA NA
XDWG,XTRACKERS (IE) PUBLIC LIMITED C
HSXD,HSBC ETFS PLC HSBC APAC EX JAP
V3PL,VANGUARD FUNDS PLC VGI ESG DEV
ICGT,ICG ENTERPRISE TRUST PLC ORD 10
ONT,OXFORD NANOPORE TECHNOLOGIES PL
LGAG,LEGAL & GENERAL UCITS ETF PUBLI
SILV,GLOBAL X ETFS ICAV GLOBAL X SIL
ES15,ISHARES PLC ISHARES ￡ CORP BD
WMAT,SSGA SPDR ETFS EUROPE II PLC SP
XEMN,DB-XTRACKERS X EM NET ZERO PARI
WLDU,AMUNDI ETF LYXOR MSCI WORLD - M
EUMV,OSSIAM LUX OSSIAM ISTOXX EURP M
LCAS,MULTI UNITS LUXEMBOURG LYXOR MS
BBSU,JPMORGAN ETFS (IRELAND) ICAV JP
SILP,UBS AG UBS ETC (CMCI SILVER) GB
SDG7,DB-XTRACKERS X GLOBAL SDG 7 CLE
JLEN,JLEN ENVIRONMENTAL ASSETS GROUP
HPAU,HSBC ETFS PLC HSBC MSCI USA CLI
0O33,OENEO ORD SHS
WNEW,WISDOMTREE WISDOMTREE NEW ECON
HPUD,HSBC ETFS PLC HSBC MSCI USA CL
CU2G,AMUNDI INDEX SOLUTIONS AMUNDI M
DNLM,DUNELM GROUP PLC ORD 1P
0O0E,BIGBEN INTERACT ORD SHS
AWSG,UBS (IRL) ETF PLC UBS ETF ACWI
SPUD,SSGA SPDR ETFS EUROPE SPDR MSCI
HPAW,HSBC ETFS PLC HSBC MSCI WORLD C
EEDG,ISHARES IV PLC ISH MSCI USA ESG
IGDA,INVESCO MARKETS II PLC IVZ DJ I
BGX,EXPAT ASSET MANAGEMENT EAD EXPA
JMG,JPMORGAN EMERGING MKTS INV TRST
NDIA,ISHARES IV PLC ISH MSCI INDIA U
GSPX,ISHARES VII PLC ISH S&P500 UCIT
XSXG,DB-XTRACKERS XTRACKERS S&P 500
SLVR,WISDOMTREE COMMODITY SECURITIES
XPHI,XTRACKERS X MSCI PHILIPPINES 1C
C5KG,CIRCA5000 ICAV C5K GREEN ENERGY
XMUS,XTRACKERS X MSCI USA SWAP
IWDE,ISHARES V PUBLIC LIMITED COMPAN
FAIG,WISDOMTREE COMMODITY SECURITIES
UC04,UBS (IRL) ETF PLC UBS ETF-MSCI
SDJP,ISHARES IV PLC ISH MSCI JAP ESG
ISUN,INVESCO MARKETS II PLC IVZ SOLA
SAJP,ISHARES IV PLC ISH MSCI JAP ESG
BT.A,英国电信集团
0QN1,SANTHERA PHARMACEUTICALS HOLDIN
XDG9,DB-XTRACKERS X MSCI GLOBAL SDG
TGA,THUNGELA RESOURCES LIMITED ORD
USAL,AMUNDI ETF LYXOR MSCI USA ESG B
MYI,MURRAY INTERNATIONAL TRUST PLC
JGEP,JPMORGAN ETFS (IRELAND) ICAV JP
HPRD,HSBC ETFS PLC HSBC FTSE EPRA/NA
QYLP,GLOBAL X ETFS ICAV GLOBAL X NAS
CBS5,UBS BBG MSCI US LIQ CORP 1-5 YE
FGLS,FIDELITY UCITS ICAV SUSTAIN RES
HSWO,HSBC ETFS PLC HSBC DEV WORLD SU
LGUG,LEGAL & GENERAL UCITS ETF PUBLI
VHVE,VANGUARD FUNDS PLC VANGUARD FTS
EMRP,RIZE UCITS ICAV RIZE EM INTERNE
VMUK,VIRGIN MONEY UK PLC ORD GBP0.10
FRFD,FRANKLIN TEMPLETON ICAV FRK FUT
HSAS,HSBC ETFS PLC HSBC APAC EX JP S
DFDU,FLEXSHARES ICAV FLEXSHARES EQUI
CU1,ISHARES VII PLC ISHRS MSCI USA
HSPX,HSBC ETFS PLC HSBC S&P 500 UCIT
HSDS,HSBC ETFS PLC HSBC DEV WLD SUST
WCOS,SSGA SPDR ETFS EUROPE II PLC SP
SNIK,WISDOMTREE COMMODITY SECURITIES
XZW0,XTRACKERS (IE) PUBLIC LIMITED C
RCH,REACH PLC ORD 10P
XDUS,XTRACKERS (IE) PUBLIC LIMITED C
XLYP,INVESCO MARKETS PLC INVESCO CON
UC13,UBS (IRL) ETF PLC UBS ETF-S&P 5
500P,FRANKLIN LIBERTYSHARES ICAV FRK
HSPS,HSBC ETFS PLC HSBC S&P 500 UCIT
WNER,WISDOMTREE WISDOMTREE NEW ECON
SASU,ISHARES IV PLC ISH MSCI USA ESG
500G,AMUNDI INDEX SOLUTIONS AMUNDI S
LDAP,LEGAL & GENERAL UCITS ETF PLC L
BCHS,INVESCO MARKETS II PLC IVZ ELWO
NCYF,CQS NEW CITY HIGH YIELD FUND LI
VDEM,VANGUARD FUNDS PLC VANGUARD FTS
INAA,ISHARES PLC ISHS MSCI N.AMERICA
JPCT,JPMORGAN ETFS (IRELAND) ICAV JP
WTRE,WISDOMTREE WISDOMTREE NEW ECON
GPSA,ISHARES IV PLC ISH MSCI USA ESG
LCUD,MULTI UNITS LUXEMBOURG LYXOR CO
HPRO,HSBC ETFS PLC HSBC FTSE EPRA/NA
HPJP,HSBC ETFS PLC HSBC MSCI JAPAN C
SPX5,SSGA SPDR ETFS EUROPE I PLC SPD
SP5L,MULTI UNITS LUXEMBOURG LYXOR S&
XUSW,DB-XTRACKERS X MSCI USA SWAP 1D
V3NB,VANGUARD FUNDS PLC VGI ESG NORT
HMUS,HSBC ETFS PLC HSBC MSCI USA UCI
HSAX,HSBC ETFS PLC HSBC APAC EX JP S
XZMU,XTRACKERS (IE) PUBLIC LIMITED C
TELE,SSGA SPDR ETFS EUROPE II PLC SP
5HED,OSSIAM IRL ICAV OSSIAM ETF SHIL
V3NM,VANGUARD FUNDS PLC VGI ESG NORT
XRSS,XTRACKERS (IE) PUBLIC LIMITED C
BBUS,JPMORGAN ETFS (IRELAND) ICAV JP
CHGB,WISDOMTREE FOREIGN EXCHANGE LIM
BBUD,JPMORGAN ETFS (IRELAND) ICAV JP
HSWD,HSBC ETFS PLC HSBC DEV WORLD SU
IUSA,ISHARES PLC ISHARES CORE S&P 50
WGES,MULTI UNITS LUXEMBOURG LYXOR MS
FGT,FINSBURY GROWTH & INCOME TRUST
XSPX,XTRACKERS X S&P500 SWAP
SDUS,ISHARES IV PLC ISH MSCI USA ESG
TRN,TRAINLINE PLC ORD 100P
XDPP,DB-XTRACKERS X S&P500 4C
CNKY,ISHARES VII PLC ISHRS NIKKEI 22
NRAM,AMUNDI INDEX SOLUTIONS MSCI NOR
VNRT,VANGUARD FUNDS PLC VANGUARD FTS
LDAG,LEGAL & GENERAL UCITS ETF PLC L
CSP1,ISHARES VII PLC ISHRS CORE S&P
PAEX,INVESCO IVZ MSCI EM CPA ESG UCI
PHAG,WISDOMTREE METAL SECURITIES WIS
IUSE,ISHARES V PUBLIC LIMITED COMPAN
XMAF,XTRACKERS X MSCI AFRICA TOP 50
BVIC,BRITVIC PLC ORD 20P
V3NL,VANGUARD FUNDS PLC VGI ESG NORT
MXUD,INVESCO MARKETS PLC INVESCO MSC
MXUS,INVESCO MARKETS PLC INVESCO MSC
LSPX,MULTI UNITS LUXEMBOURG LYXOR ET
AUGA,UBS (IRL) ETF PLC UBSETF AUSTRA
XCUU,DB-XTRACKERS X USA CLIMATE TRAN
AVON,AVON PROTECTION PLC ORD #1
XSLR,XTRACKERS ETC PUBLIC LIMITED CO
SPXP,INVESCO MARKETS PLC INVESCO S&P
UC87,UBS ETF UBSETF MSCI CANADA HDG
XLPP,INVESCO MARKETS PLC INVESCO CON
VUAG,VANGUARD FUNDS PLC VANGUARD S&P
XDG7,DB-XTRACKERS X GLOBAL SDG 7 CLE
5OGU,OSSIAM OSSIAM SB CAPE GLOBAL SE
HIUS,HSBC ETFS PLC HSBC MSCI USA ISL
FNRG,FIDELITY UCITS ICAV FIDELITY CL
HSDD,HSBC ETFS PLC HSBC DEV WLD SUST
SPY5,SSGA SPDR ETFS EUROPE I PLC SPD
XD9U,XTRACKERS (IE) PUBLIC LIMITED C
UB45,UBS ETF UBS ETF MSCI PACIFIC SO
XMUD,XTRACKERS X MSCI USA SWAP
LGGL,LEGAL & GENERAL UCITS ETF PUBLI
CU2U,AMUNDI INDEX SOLUTIONS AMUNDI M
HEVS,HSBC ETFS PLC HSBC MSCI EM VALU
XLPS,INVESCO MARKETS PLC INVESCO CON
VUSD,VANGUARD FUNDS PLC VANGUARD S&P
GBRE,SSGA SPDR ETFS EUROPE I PLC SPD
FSJ,FISHER (JAMES) & SONS PLC ORD 2
IAPD,ISHARES PLC ISHARES ASIA PAC. D
USPA,FRANKLIN LIBERTYSHARES ICAV FRK
GLRE,SSGA SPDR ETFS EUROPE I PLC SPD
V3NA,VANGUARD FUNDS PLC VGI ESG NORT
XLYS,INVESCO MARKETS PLC INVESCO CON
XREP,INVESCO MARKETS PLC INVESCO REA
XNZG,DB-XTRACKERS X USA NET ZERO PAR
IGSG,ISHARES II PLC ISHR DW JNES GLB
PHPP,WISDOMTREE METAL SECURITIES WIS
FGBL,FIRST TRUST GLOBAL FUNDS PUBLIC
ESGB,VANECK VECTORS UCITS ETFS PLC V
XCUD,DB-XTRACKERS X USA CLIMATE TRAN
WRNW,WISDOMTREE WT RENEWABLE ENERGY
PRIU,AMUNDI INDEX SOLUTIONS AMUNDI P
FOFD,FRANKLIN TEMPLETON ICAV FRK FUT
IDAP,ISHARES PLC ISHARES ASIA PAC. D
QYLU,GLOBAL X ETFS ICAV GLOBAL X NAS
GCLM,AMUNDI INDEX SOLUTIONS AMUNDI I
VNRA,VANGUARD FUNDS PLC VANGUARD FTS
USAU,AMUNDI ETF LYXOR MSCI USA ESG B
HSSU,HSBC ETFS PLC HSBC USA SUS EQ U
FUSR,FIDELITY UCITS ICAV SUSTAIN RES
VNRG,VANGUARD FUNDS PLC VANGUARD FTS
ISWD,ISHARES II PLC ISHRS MSCI WRLD
0J7D,VRANKEN POMMERY MONOPOLE ORD SH
XUCS,XTRACKERS (IE) PUBLIC LIMITED C
HSUS,HSBC ETFS PLC HSBC USA SUSTAINA
ISFE,ISHARES II PLC ISHRS MSCI EST E
SP5C,MULTI UNITS LUXEMBOURG LYXOR S&
HCAD,HSBC ETFS PLC HSBC MSCI CANADA
JAM,JPMORGAN AMERICAN INVESTMENT TR
HBR,HARBOUR ENERGY PLC ORD 0.002P
VUAA,VANGUARD FUNDS PLC VANGUARD S&P
LGAP,LEGAL & GENERAL UCITS ETF PUBLI
IUCS,ISHARES V PUBLIC LIMITED COMPAN
RUSG,AMUNDI ETF LYXOR RUSSELL 1000 G
EPRA,AMUNDI INDEX SOLUTIONS INDEX FT
FLXE,FRANKLIN LIBERTYSHARES ICAV FRK
JURE,JPMORGAN ETFS (IRELAND) ICAV JP
XDPG,XTRACKERS (IE) PUBLIC LIMITED C
HSPD,HSBC ETFS PLC HSBC S&P 500 UCIT
XSXD,DB-XTRACKERS XTRACKERS S&P 500
CSPX,ISHARES VII PLC ISHRS CORE S&P
FUSS,FIDELITY UCITS ICAV SUSTAIN RES
HMUD,HSBC ETFS PLC HSBC MSCI USA UCI
LGRS,LOUNGERS PLC ORD 1P
NRAU,AMUNDI INDEX SOLUTIONS AMUNDI I
CSUS,ISHARES VII PLC ISHRS MSCI USA
SDG9,DB-XTRACKERS X MSCI GLOBAL SDG
500D,AMUNDI INDEX SOLUTIONS AMUNDI S
SP5G,MULTI UNITS LUXEMBOURG LY S&P 5
VDNR,VANGUARD FUNDS PLC VANGUARD FTS
PHPM,WISDOMTREE METAL SECURITIES WIS
LGUS,LEGAL & GENERAL UCITS ETF PUBLI
LALU,WISDOMTREE COMMODITY SECURITIES
IGSU,ISHARES II PLC ISHR DW JNES GLB
LESU,MULTI UNITS LUXEMBOURG LYXOR MS
LSPU,MULTI UNITS LUXEMBOURG LYXOR ET
SXLY,SSGA SPDR ETFS EUROPE II PLC SP
0HY2,CEMENTIR HOLDING SPA CEMENTIR H
XDPU,DB-XTRACKERS X S&P500 4C
PABW,AMUNDI INDEX SOLUTIONS AMUNDI M
500U,AMUNDI INDEX SOLUTIONS AMUNDI S
XSPU,XTRACKERS X S&P500 SWAP $
EEDS,ISHARES IV PLC ISH MSCI USA ESG
FEML,FIDELITY EMERGING MARKETS LIMIT
SEUR,WISDOMTREE FOREIGN EXCHANGE LIM
PSRM,INVESCO MARKETS III PLC INVESCO
LDEM,LEGAL & GENERAL UCITS ETF PLC L
EMVL,ISHARES IV PLC ISH MSCI EM VALU
SPXS,INVESCO MARKETS PLC INVESCO S&P
UESG,MULTI UNITS LUXEMBOURG LYXOR MS
SSXF,ISHARES III PLC ISHRS ￡ CORP B
COFF,WISDOMTREE COMMODITY SECURITIES
SPXD,INVESCO MARKETS PLC INVESCO S&P
XS5G,DB-XTRACKERS XTRACKERS S&P 500
SGQD,MULTI UNITS LUXEMBOURG LYXOR ET
GFA,VANECK VECTORS UCITS ETFS PLC V
ROCK,ROCKFIRE RESOURCES PLC ORD 0.1P
PABU,MULTI UNITS LUXEMBOURG LY S&P 5
HSPA,HSBC ETFS PLC HSBC S&P 500 UCIT
PRAU,AMUNDI INDEX SOLUTIONS AMUNDI P
XUKS,XTRACKERS X FTSE100 SHORT DAILY
XESU,XTRACKERS (IE) PUBLIC LIMITED C
HIUA,HSBC ETFS PLC HSBC MSCI USA ISL
SXLP,SSGA SPDR ETFS EUROPE II PLC SP
FREM,FRANKLIN LIBERTYSHARES ICAV FRK
NESP,INVESCO MARKETS II PLC IVZ NASD
CGH,恰拉特黄金
EMIS,EMIS GROUP PLC ORD 1P
TAGD,TABULA ICAV TAB ASIA HY ESG ETF
URGB,WISDOMTREE FOREIGN EXCHANGE LIM
DPYA,ISHARES II PLC ISH DEV MKT PROP
TIFS,TI FLUID SYSTEMS PLC ORD 1P
HINT,HENDERSON INTERNATIONAL INCOME
HMXJ,HSBC ETFS PLC HSBC MSCI PACIFIC
0IS8,FONCIERE DES MURS SCA FONCIERE
JUP,木星基金管理
XRMU,XTRACKERS (IE) PUBLIC LIMITED C
IDUS,ISHARES PLC ISHARES CORE S&P 50
QYLD,GLOBAL X ETFS ICAV GLOBAL X NAS
GLDA,AMUNDI PHYSICAL METALS PLC AMUN
SKG,司墨飞·卡帕集团
XPXJ,XTRACKERS X MSCI PACIFIC EX JAP
0QOC,HBM HEALTHCARE INVESTMENTS ORD
XS6R,XTRACKERS X STXX EUROPE UTILITI
ERGO,ERGOMED PLC ORD 1P
SGQX,MULTI UNITS LUXEMBOURG LYXOR SG
BBGI,BBGI GLOBAL INFRASTRUCTURE S.A.
IWDP,ISHARES II PLC ISHRS DEV MRKTS
IPRP,ISHARES PLC ISHARES EURO PTY YL
XRES,INVESCO MARKETS PLC INVESCO REA
JRUD,JPMORGAN ETFS (IRELAND) ICAV JP
0MB2,INTEK GROUP SPA AZ ORDINARIA PO
HSUD,HSBC ETFS PLC HSBC USA SUSTAINA
TAGH,TABULA ICAV TAB ASIA HY ESG ETF
FEM,FIRST TRUST GLOBAL FUNDS PUBLIC
HSDU,HSBC ETFS PLC HSBC USA SUS EQ U
XNZU,DB-XTRACKERS X USA NET ZERO PAR
EEIA,WISDOMTREE ISSUER PLC  WISDOMTR
JFJ,JPMORGAN JAPANESE INVESTMENT TR
AGR,ASSURA PLC ORD 10P
IMB,帝国烟草
USPG,UBS (IRL) ETF PLC UBSETF S&P 50
SDIP,GLOBAL X ETFS ICAV GLOBAL X SUP
GTLY,GATELEY (HOLDINGS) PLC ORD 10P
XIDD,XTRACKERS X MSCI INDONESIA SWAP
GLDW,WISDOMTREE METAL SECURITIES WIS
PABL,MULTI UNITS LUXEMBOURG LYXOR NE
AAL,英美资源公司
XDWC,XTRACKERS (IE) PUBLIC LIMITED C
SGBX,WISDOMTREE METAL SECURITIES WIS
PHGP,WISDOMTREE METAL SECURITIES WIS
PRMU,UBS AG UBS ETC (UBS BBG CMCI PR
CCAU,ISHARES VII PLC ISHRS MSCI CANA
GBSS,GOLD BULLION SECURITIES LD GOLD
JREU,JPMORGAN ETFS (IRELAND) ICAV JP
XBAK,XTRACKERS X MSCI PAKISTAN SWAP
HMXS,HSBC ETFS PLC HSBC MSCI PAC EX
SPLG,INVESCO MARKETS II PLC INVESCO
USLV,SSGA SPDR ETFS EUROPE I PLC SPD
0R7T,TINC COMM ORD SHS
POLN,POLLEN STREET PLC ORD 1P
PABS,MULTI UNITS LUXEMBOURG LYXOR NE
SGQL,MULTI UNITS LUXEMBOURG LYXOR ET
VAPX,VANGUARD FUNDS PLC VANGUARD FTS
NESF,NEXTENERGY SOLAR FUND LIMITED R
ESPS,INVESCO MARKETS II PLC IVZ MSCI
AEI,ABRDN EQUITY INCOME TRUST PLC O
XZMD,DB-XTRACKERS XTRACKERS MSCI USA
RIUG,LEGAL & GENERAL UCITS ETF PLC L
EMRJ,RIZE UCITS ICAV RIZE EM INTERNE
DS2P,LEGAL & GENERAL UCITS ETF PUBLI
GABI,GCP ASSET BACKED INCOME FUND LI
CKEG,CIRCA5000 ICAV C5K SOCIAL & ECO
XMES,XTRACKERS X MSCI MEXICO $
GWI,GLOBALWORTH REAL ESTATE INVESTM
CRE,CONDUIT HOLDINGS LD ORD USD0.01
IGUS,ISHARES V PUBLIC LIMITED COMPAN
XSD2,XTRACKERS X SHORTDAX X2 DAILY S
RIAG,LEGAL & GENERAL UCITS ETF PLC L
BRWM,BLACKROCK WORLD MINING TRUST PL
SPXJ,ISHARES III PLC ISHRS MSCI PACI
TRET,VANECK VECTORS ETFS N.V. VANECK
NRJL,AMUNDI ETF LYXOR MSCI NEW ENERG
RCDO,里卡多
RIUS,LEGAL & GENERAL UCITS ETF PLC L
NESG,INVESCO MARKETS II PLC IVZ NASD
SGEA,ISHARES III PLC ISHRS EMR ASIA
ESPO,VANECK VECTORS UCITS ETFS PLC V
UB20,UBS ETF UBS ETF MSCI PACIFIC (E
HEMV,HSBC ETFS PLC HSBC MSCI EM VALU
IPXJ,ISHARES III PLC ISHRS MSCI PACI
XPXD,XTRACKERS X MSCI PACIFIC EX JAP
HMXD,HSBC ETFS PLC HSBC MSCI PACIFIC
BULP,WISDOMTREE COMMODITY SECURITIES
PRMG,UBS AG UBS ETC (CMCI PREC METAL
PPDX,WISDOMTREE WISDOMTREE PHYSICAL
GXLK,SSGA SPDR ETFS EUROPE SPDR S&P
PEX,UBS UBS MSCI PACIFIC (EXJ) IMI
UC67,UBS ETF UBS ETF - MSCI USA UCIT
PAXG,MULTI UNITS LUXEMBOURG LYX ETF
LOWV,SSGA SPDR ETFS EUROPE I PLC SPD
UC03,UBS (IRL) ETF PLC UBS ETF - MSC
FUL,THE FULHAM SHORE PLC ORD GBP0.0
DPYG,ISHARES II PLC ISH DEV MKTS PPT
VLX,豪利士集团
MAGI,SSGA SPDR ETFS EUROPE II PLC SP
