isin,name,symbol,证券名称,industry,xetr_industry,category,currency,exchangeId,exchange_degiro,exchange_mic_code,exchange,isShortable,feedQuality,feedQualitySecondary,slug,name.originalValue,name.translations.others,name.translations.en,overview.lastPrice,changeToPrevDay,turnover,marketCapitalisation,overview.dateTimeLastPrice
DE000A0KEXC7,Vectron Systems,V3S,,Computer Processing Hardware,Advanced Industrial Equipment,C,EUR,194,XET,XETR,Xetra,False,CX,D15,vectron-systems-ag,VECTRON SYSTEMS O.N.,Vectron Systems AG,,5.54,0.3623188405,879.94,44652400.0,2023-07-20T17:36:13+02:00
DE0005220008,EnBW Energie Baden Wuerttemberg,EBK,,Electric Utilities,Electricity,J,EUR,194,XET,XETR,Xetra,False,CX,D15,enbw-energie-baden-wuerttemberg-ag,ENBW ENERGIE BAD.-WUE. ON,EnBW Energie Baden-Württemberg AG,,85.8,0.4683840749,842.0,23732280000.0,2023-07-20T17:36:16+02:00
DE0005203947,BRAIN Biotech,BNN,,Biotechnology,"Chemicals, Specialty",B,EUR,194,XET,XETR,Xetra,True,CX,D15,brain-biotech-ag,BRAIN BIOTEC NA O.N.,BRAIN Biotech AG,,4.59,1.3245033112,682.5,100291500.0,2023-07-20T17:36:08+02:00
DE000A0LBKW6,UET United Electronic Technology,CFC,,Financial Conglomerates,"Industrial, Diversified",C,EUR,194,XET,XETR,Xetra,False,CX,D15,uet-united-electronic-technology-ag,UET AG O.N.,UET United Electronic Technology AG,,1.49,-1.3245033113,600.0,22707600.0,2023-07-20T17:36:08+02:00
NL0014332678,JDE Peets,JDE,,Beverages: Non-Alcoholic,Soft Drinks,D,EUR,194,XET,XETR,Xetra,False,D15,,jde-peets-nv-eo-01,"JDE PEETS NV EO-,01",,,27.18,0.59215396,545.2,13643001000.0,2023-07-20T17:35:45+02:00
DE000A2G8332,Niiio Finance Group,NIIN,,,,D,EUR,194,XET,XETR,Xetra,False,D15,,niiio-fin-grp-ag-na-o-n,NIIIO FIN.GRP AG NA O.N.,,,0.58,4.5045045045,493.0,18942800.0,2023-07-20T17:36:09+02:00
CH0006539198,Highlight Communications,HLG,,Movies/Entertainment,Movies & Entertainment,D,EUR,194,XET,XETR,Xetra,False,,,highlight-communications-ag,HIGHLIGHT CMNCTS INH.SF 1,Highlight Communications AG,,3.48,2.3529411764,452.4,219240000.0,2023-07-20T17:35:47+02:00
DE000A1RFMY4,RCM Beteiligungs,RCMN,,Real Estate Development,Real Estate,D,EUR,194,XET,XETR,Xetra,False,D15,,rcm-beteiligungs-ag,RCM BETEILIGUNGS NA. O.N.,RCM Beteiligungs AG,,1.7,0.0,401.94,22270000.0,2023-07-20T17:36:11+02:00
DE000A3H3L44,2Invest,,,Biotechnology,Biotechnology,D,EUR,194,XET,XETR,Xetra,False,D15,,2invest-ag-na-o-n,2INVEST AG NA O.N.,,,6.65,-1.4814814815,399.0,38237500.0,2023-07-20T09:02:20+02:00
DE000A254211,Intershop Communications,ISHA,,Packaged Software,Internet,D,EUR,194,XET,XETR,Xetra,False,D15,,intershop-comm-inh-o-n,INTERSHOP COMM. INH O.N.,,,1.87,0.2680965147,381.8,27264600.0,2023-07-20T17:36:06+02:00
GB0008706128,Lloyds Banking Group,LLD,,Major Banks,,D,EUR,194,XET,XETR,Xetra,False,D15,,lloyds-tsb-group-plc,"LLOYDS BKG GRP LS-,10",Lloyds TSB Group PLC,,0.534,-1.1111111112,374.62,35931711900.0,2023-07-20T17:35:33+02:00
DE0005489561,United Labels,ULC,,Apparel/Footwear,"Retail, Specialty",A,EUR,194,XET,XETR,Xetra,True,CX,D15,united-labels-ag,UNITED LABELS O.N.,United Labels AG,,2.22,-3.4782608696,337.0,15384600.0,2023-07-20T17:36:19+02:00
DE000A0DNAY5,bet-at-home,ACX,,Movies/Entertainment,"Retail, Internet",D,EUR,194,XET,XETR,Xetra,False,D15,,bet-at-home-com-ag,BET-AT-HOME.COM AG O.N.,bet-at-home.com AG,,3.87,-2.5188916877,319.59,27167400.0,2023-07-20T17:36:22+02:00
NL0011794037,Koninklijke Ahold Delhaize,AHOG,,Food Retail,Food Retailers and Wholesalers,D,EUR,194,XET,XETR,Xetra,False,D15,,ahold-delhaize-kon-eo-01,"AHOLD DELHAIZE,KON.EO-,01",,,31.59,2.0678513731,315.2,31391614800.0,2023-07-20T17:35:32+02:00
DE0007830788,Ifa Systems,IS8,,Industrial Conglomerates,Industrial Products & Services,D,EUR,194,XET,XETR,Xetra,False,D15,,ifa-systems-ag,IFA SYSTEMS AG,ifa systems AG,,3.24,0.0,314.0,8910000.0,2023-07-20T17:36:08+02:00
IT0003497168,Telecom Italia SpA,TQI,,Specialty Telecommunications,Telecommunications Services,D,EUR,194,XET,XETR,Xetra,False,D15,,telecom-italia-s-p-a,TELECOM ITALIA,Telecom Italia S.p.A.,,0.2575,0.0,301.71,5466959325.0,2023-07-20T17:35:57+02:00
DE0007008906,Realtech,RTC,,Miscellaneous Commercial Services,IT-Services,C,EUR,194,XET,XETR,Xetra,False,D15,,realtech-ag,REALTECH AG O.N.,REALTECH AG,,1.42,-0.6993006994,273.24,7653800.0,2023-07-20T17:36:00+02:00
AT0000821103,UNIQA Insurance Group,UN9,,Multi-Line Insurance,,D,EUR,194,XET,XETR,Xetra,False,D15,,uniqa-insurance-group-ag,UNIQA INSURANCE GROUP AG,UNIQA Insurance Group AG,,7.42,0.6784260515,252.76,2292780000.0,2023-07-20T17:35:52+02:00
DE0005194005,BayWa,BYW,,Wholesale Distributors,Industrial Products & Services,D,EUR,194,XET,XETR,Xetra,False,D15,,baywa-ag,BAYWA AG NA O.N.,BayWa AG ,,48.1,1.6913319238,193.1,1724866000.0,2023-07-20T17:35:20+02:00
DE000A1X3X33,WCM Beteiligungs und Grundbesitz,WCMK,,Real Estate Development,Real Estate,D,EUR,194,XET,XETR,Xetra,False,D15,,wcm-ag,WCM BET.GRD.AG O.N.,WCM AG,,2.32,-1.6949152543,179.28,349113600.0,2023-07-20T17:36:28+02:00
DE0006214687,Mueller Die Lila Logistik,MLL,,Miscellaneous Commercial Services,Logistics,D,EUR,194,XET,XETR,Xetra,False,D15,,mueller-die-lila-logistik-se,MUELLER-LILA LOG. INH ON,Müller - Die lila Logistik SE,,5.95,-1.652892562,177.0,47362000.0,2023-07-20T17:36:05+02:00
DE0005775803,Foris,FRS,,Investment Managers,Diversified Financial,D,EUR,194,XET,XETR,Xetra,False,D15,,foris-ag,FORIS AG,FORIS AG,,2.72,0.0,158.4,12593600.0,2023-07-20T17:36:01+02:00
CA9628791027,Wheaton Precious Metals Corp,SII,,Precious Metals,,D,EUR,194,XET,XETR,Xetra,False,D15,,wheaton-prec-metals,WHEATON PREC. METALS,,,39.75,-0.625,119.7,17921685000.0,2023-07-20T17:35:31+02:00
DE0007279507,Splendid Medien,SPM,,Movies/Entertainment,Movies & Entertainment,D,EUR,194,XET,XETR,Xetra,False,D15,,splendid-medien-ag,SPL.MEDIEN AG O.N.,Splendid Medien AG,,1.43,-1.3793103449,106.5,13999700.0,2023-07-20T17:36:23+02:00
DE0005104806,Syzygy,SYZ,,Miscellaneous Commercial Services,IT-Services,C,EUR,194,XET,XETR,Xetra,False,D15,,syzygy-ag,SYZYGY AG O.N.,Syzygy AG,,4.52,0.0,90.0,61020000.0,2023-07-20T17:36:27+02:00
DE0006061104,HMS Bergbau,HMU,,Industrial Conglomerates,Industrial Products & Services,D,EUR,194,XET,XETR,Xetra,False,D15,,hms-bergbau-ag,HMS BERGBAU AG,HMS Bergbau AG,,21.6,0.0,86.0,98064000.0,2023-07-20T17:36:15+02:00
US40434L1052,HP,7HP,,Computer Processing Hardware,,A,EUR,194,XET,XETR,Xetra,False,CX,D15,hp-inc,"HP INC DL -,01",HP Inc.,,29.22,-1.3504388927,58.54,31002041075.04,2023-07-20T17:35:44+02:00
US0268747849,American International Group,AINN,,,,D,EUR,194,XET,XETR,Xetra,False,D15,,american-international-grp-inc,"AMER.INTL GRP NEW DL 2,50",American International Grp Inc,,53.7,1.7045454545,53.7,102388179000.0,2023-07-20T17:35:48+02:00
US4128221086,Harley-Davidson,HAR,,Motor Vehicles,,D,EUR,194,XET,XETR,Xetra,False,D15,,harley-davidson-inc,"HARLEY-DAVID.INC. DL -,01",Harley-Davidson Inc.,,32.84,1.1706715958,32.9,5053452040.0,2023-07-20T17:35:51+02:00
DE0001262152,B+S Banksysteme,DTD2,,Internet Software/Services,Internet,C,EUR,194,XET,XETR,Xetra,False,D15,,b-s-banksysteme-aktiengesellschaft,B+S BANKSYSTEME AG O.N.,B+S Banksysteme Aktiengesellschaft,,1.94,-1.0204081633,26.6,12047400.0,2023-07-20T17:36:01+02:00
DE000A3DSV01,Cantourage Group,HIGH,,Pharmaceuticals: Other,Pharmaceuticals,D,EUR,194,XET,XETR,Xetra,False,D15,,cantourage-group-se,CANTOURAGE GROUP SE O.N.,Cantourage Group SE,,10.76,-0.185528757,21.8,134177200.0,2023-07-20T17:36:28+02:00
DE000A2TR919,Spielvereinigung Unterhaching Fussball GmbH ,S6P,,,,D,EUR,194,XET,XETR,Xetra,False,D15,,spielvgg-unterhach-na-on,SPIELVGG UNTERHACH. NA ON,,,3.7,0.0,11.4,14578000.0,2023-07-20T17:36:25+02:00
US98978V1035,Zoetis,ZOE,,,,D,EUR,194,XET,XETR,Xetra,False,D15,,zoetis,"ZOETIS INC. CL.A DL -,01",Zoetis Inc.,,154.2,0.7513884351,0.0,77391438000.0,2023-07-20T17:35:57+02:00
