stock-id,name,trading-status,industry,business,child-business,market-cap,update-date,一级行业,二级行业,三级行业,证券名称,证券代码,总市值,asset_subtype,sym,mktcap,ls,am,ric,product_subtype,am_u,yld,pc,pe,nc,ccy,nm,mktcap_u,suspend,涨跌幅,最新价
00083,信和置業,N,地產建築,地產,地產投資,76979136004.26,2023-07-18T18:15:50,地产建筑,地产,地产投资,信和置业,00083.HK,769.8,ODSH,83,76.97,9.420,,0083.HK,,,6.05,0.00,12.39,0.000,HKD,信和置業,B,,0.0,9.420
00084,寶光實業,N,非必需性消費,零售相關,其他零售,68020811.625,2023-07-18T18:15:50,非必需性消费,零售相关,其他零售,宝光实业,00084.HK,0.7,ODSH,84,68.02,0.065,,0084.HK,,,,0.00,1.34,0.000,HKD,寶光實業,M,,0.0,0.065
00085,中電華大科技,N,資訊科技,半導體,半導體,2983911840.0,2023-07-18T18:15:50,科技,半导体,半导体,中电华大科技,00085.HK,29.8,ODSH,85,2.98,1.470,,0085.HK,,,5.44,0.00,5.61,0.000,HKD,中電華大科技,B,,0.0,1.470
00086,新鴻基公司,N,金融,其他金融,信貸,5762142374.49,2023-07-18T18:15:50,金融,其他金融,信贷,新鸿基公司,00086.HK,57.6,ODSH,86,5.76,2.930,,0086.HK,,,8.87,0.00,,0.000,HKD,新鴻基公司,B,,0.0,2.930
00087,太古股份公司B,N,綜合企業,綜合企業,綜合企業,29457162000.0,2023-07-18T18:15:50,综合企业,综合企业,综合企业,太古股份公司B,00087.HK,294.6,ODSH,87,29.45,10.080,,0087.HK,,,5.95,0.00,17.95,0.000,HKD,太古股份公司Ｂ,B,,0.0,10.080
00088,大昌集團,N,地產建築,地產,地產發展商,2216937815.75,2023-07-18T18:15:50,地产建筑,地产,地产发展商,大昌集团,00088.HK,22.2,ODSH,88,2.21,3.590,,0088.HK,,,6.69,0.00,,0.000,HKD,TAI CHEUNG HOLD,B,,0.0,3.590
00089,大生地產,N,地產建築,地產,地產投資,1047117620.64,2023-07-18T18:15:50,地产建筑,地产,地产投资,大生地产,00089.HK,10.5,ODSH,89,1.04,3.640,,0089.HK,,,5.49,0.00,2.91,0.000,HKD,大生地產,B,,0.0,3.640
00090,普星能量,N,公用事業,公用事業,環保能源,201784000.0,2023-07-18T18:15:50,公用事业,公用事业,环保能源,普星能量,00090.HK,2.0,ODSH,90,201.78,0.440,,0090.HK,,,,0.00,3.44,0.000,HKD,普星能量,M,,0.0,0.440
00091,金禧國際控股,S,能源,石油及天然氣,油氣生產商,106900720.68,2023-07-18T18:15:50,能源,石油及天然气,油气生产商,金禧国际控股,00091.HK,1.1,ODSH,91,106.90,0.024,,0091.HK,,,,0.00,,0.000,HKD,金禧國際控股,M,True,0.0,0.024
00092,冠軍科技集團,S,能源,石油及天然氣,油氣生產商,155913433.344,2023-07-18T18:15:50,能源,石油及天然气,油气生产商,冠军科技集团,00092.HK,1.6,ODSH,92,155.91,0.057,,0092.HK,,,,0.00,,0.000,HKD,冠軍科技集團,M,True,0.0,0.057
00093,TERMBRAY IND,N,地產建築,地產,地產投資,1493880108.0,2023-07-18T18:15:50,地产建筑,地产,地产投资,TERMBRAY IND,00093.HK,14.9,ODSH,93,1.49,0.560,,0093.HK,,,,0.00,98.25,0.000,HKD,TERMBRAY IND,B,,0.0,0.560
00094,綠心集團,N,原材料,其他原材料,林業及木材,109444472.304,2023-07-18T18:15:50,原材料,其他原材料,林业及木材,绿心集团,00094.HK,1.1,ODSH,94,109.44,0.059,,0094.HK,,,,0.00,,0.000,HKD,綠心集團,M,,0.0,0.059
00095,綠景中國地產,N,地產建築,地產,地產發展商,7391670763.75,2023-07-18T18:15:50,地产建筑,地产,地产发展商,绿景中国地产,00095.HK,73.9,ODSH,95,7.39,1.450,,0095.HK,,,,0.00,,0.000,HKD,綠景中國地產,B,,0.0,1.450
00096,友成控股,N,工業,工業工程,工業零件及器材,362833272.0,2023-07-18T18:15:50,工业,工业工程,工业零件及器材,友成控股,00096.HK,3.6,ODSH,96,362.83,0.570,,0096.HK,,,2.58,0.00,5.82,0.000,HKD,ＹＵＳＥＩ,M,,0.0,0.570
00097,恒基發展,N,非必需性消費,零售相關,其他零售,777068485.725,2023-07-18T18:15:50,非必需性消费,零售相关,其他零售,恒基发展,00097.HK,7.8,ODSH,97,777.06,0.255,,0097.HK,,,7.84,0.00,159.38,0.000,HKD,恒基發展,M,,0.0,0.255
00098,興發鋁業,N,原材料,一般金屬及礦石,鋁,2797316741.1,2023-07-18T18:15:50,原材料,一般金属及矿石,铝,兴发铝业,00098.HK,28.0,ODSH,98,2.79,6.650,,0098.HK,,,5.56,0.00,5.40,0.000,HKD,興發鋁業,B,,0.0,6.650
00099,王氏國際,N,工業,工業工程,電子零件,789498260.1,2023-07-18T18:15:50,工业,工业工程,电子零件,王氏国际,00099.HK,7.9,ODSH,99,789.49,1.650,,0099.HK,,,3.94,0.00,7.02,0.000,HKD,王氏國際,M,,0.0,1.650
00101,恒隆地產,N,地產建築,地產,地產投資,51021615997.8,2023-07-18T18:15:50,地产建筑,地产,地产投资,恒隆地产,00101.HK,510.2,ODSH,101,51.02,11.340,,0101.HK,,,6.88,0.00,13.30,0.000,HKD,恒隆地產,B,,0.0,11.340
00102,凱升控股,N,非必需性消費,旅遊及休閒設施,賭場及博彩,703473356.04,2023-07-18T18:15:50,非必需性消费,旅游及休闲设施,赌场及博彩,凯升控股,00102.HK,7.0,ODSH,102,703.47,0.156,,0102.HK,,,,0.00,60.00,0.000,HKD,凱升控股,M,,0.0,0.156
00103,首佳科技,N,工業,工業工程,商用車及貨車,340989198.244,2023-07-18T18:15:50,工业,工业工程,商用车及货车,首佳科技,00103.HK,3.4,ODSH,103,340.98,0.173,,0103.HK,,,4.22,0.00,7.09,0.000,HKD,首佳科技,M,,0.0,0.173
00104,冠亞商業集團,N,非必需性消費,零售相關,其他零售,180056696.02,2023-07-18T18:15:50,非必需性消费,零售相关,其他零售,冠亚商业集团,00104.HK,1.8,ODSH,104,180.05,0.241,,0104.HK,,,19.46,0.00,4.13,0.000,HKD,ASIA COMM HOLD,M,,0.0,0.241
