证券代码,股票简称,流通市值,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
000862.SZ,银星能源,47.54,21.95,58.91,1.55,5.3,5.44,3.96,,0.0,38.73,-6.72,48.54,0.01,-8.76,22.24,8.07,0.06
301217.SZ,铜冠铜箔,340.97,407.71,-2132.9,6.3,0.89,1.16,1.28,0.06,50.0,141.1,5.76,27.94,0.01,扣非亏损,危险信号,351.47,0.01
300938.SZ,信测标准,83.68,46.79,54.62,5.33,9.63,10.31,8.63,,0.0,8.93,23.15,13.28,0.01,2.36,11.34,9.08,0.1
301396.SZ,宏景科技,116.4,163.84,406.91,18.22,8.38,8.7,4.15,0.08,12.73,373.02,-3.09,72.37,0.01,-131.8,48.56,18.83,0.03
002667.SZ,威领股份,71.24,-451.02,-27.16,22.34,-25.62,-3.64,0.39,,0.0,26.73,120.29,84.15,0.01,扣非亏损,扣非亏损,亏损,-0.99
688308.SH,欧科亿,148.27,217.51,-2499.82,5.75,1.05,1.98,1.56,,0.0,-54.43,4.54,32.83,0.01,扣非亏损,危险信号,219.7,0.01
600238.SH,*ST椰岛,24.13,-264.85,-17.42,23.94,-15.24,-6.56,0.34,,0.0,14.77,-39.36,85.19,0.01,扣非亏损,扣非亏损,亏损,-0.99
000935.SZ,四川双马,211.24,53.97,128.31,2.72,4.28,3.85,3.75,,0.0,46.89,-4.08,15.6,0.01,-31.45,59.97,28.04,0.03
300455.SZ,航天智装,171.06,-82.06,-132.46,10.27,-9.03,-8.92,-5.14,,0.0,-713.41,1.15,43.03,0.01,扣非亏损,扣非亏损,亏损,-0.99
002338.SZ,奥普光电,122.45,241.36,319.48,8.99,2.22,2.83,3.42,,0.0,-18.73,11.47,31.63,0.01,27.86,288.1,170.57,0.02
603859.SH,能科科技,99.84,45.36,49.5,3.27,4.92,5.55,5.62,,0.0,30.55,9.82,31.96,0.01,5.04,20.12,16.35,0.06
300101.SZ,振芯科技,129.06,104.67,428.94,7.02,4.11,5.08,3.74,,0.0,44.79,4.87,33.04,0.01,88.01,208.86,41.21,0.02
920510.BJ,丰光精密,14.85,-248.59,-207.31,7.27,-3.2,-2.19,-1.62,,0.0,-160.94,-3.51,26.22,0.01,扣非亏损,扣非亏损,亏损,-0.99
