证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
600649.SH,城投控股,33.62,19.79,0.61,1.45,1.37,1.35,0.9,0.0,227.56,63.64,74.45,0.8,0.31,27.3,49.08,0.83
603373.SH,安邦护卫,35.37,33.46,2.35,4.81,5.0,7.27,1.67,37.74,6.55,6.55,24.81,0.79,5.11,6.95,7.07,0.94
300621.SZ,维业股份,-138.66,-65.24,2.13,-2.0,-1.14,1.08,0.11,0.0,-222.54,9.4,94.27,0.79,扣非亏损,扣非亏损,亏损,-0.21
301632.SZ,广东建科,492.77,,3.77,0.54,0.71,0.1,,0.0,,1.44,21.04,0.78,,,1388.09,0.78
001333.SZ,光华股份,32.74,29.25,2.01,4.24,4.63,3.48,2.08,0.0,-23.85,9.62,38.81,0.78,3.04,13.81,14.14,0.85
001221.SZ,悍高集团,39.9,,9.39,21.3,23.01,16.48,,0.0,,25.2,35.65,0.78,,,3.47,1.07
600155.SH,华创云信,53.61,46.7,0.73,0.97,1.03,,,0.0,39.89,-0.85,64.72,0.78,-54.94,96.34,104.11,0.79
002183.SZ,怡亚通,301.61,361.33,1.53,-0.23,0.38,1.42,0.22,0.0,-166.39,4.8,80.49,0.78,75.25,-3172.36,1587.44,0.78
601607.SH,上海医药,9.25,20.62,0.84,3.66,6.96,4.11,1.76,10.0,-26.79,8.48,62.14,0.77,2.43,5.63,1.33,0.95
600665.SH,天地源,-10.16,-2.19,1.12,-8.55,-7.94,0.37,,0.0,-2626.23,18.15,85.82,0.76,扣非亏损,扣非亏损,亏损,-0.24
605166.SH,聚合顺,17.48,16.26,1.67,6.91,7.14,2.38,1.11,0.0,-40.29,9.8,61.84,0.76,1.66,4.7,4.9,0.98
600612.SH,老凤祥,12.05,16.75,1.8,10.05,11.15,10.77,3.17,14.15,-24.99,0.08,39.25,0.76,215.27,1.67,1.08,1.36
003038.SZ,鑫铂股份,431.64,-230.06,1.27,-1.23,0.22,0.4,1.21,0.0,-130.82,49.95,72.64,0.76,扣非亏损,扣非亏损,3923.95,-0.24
601117.SH,中国化学,8.97,8.96,0.77,6.28,6.62,2.37,2.24,19.61,3.43,10.72,70.14,0.75,0.84,1.43,1.36,1.45
600482.SH,中国动力,35.84,33.75,1.44,2.71,3.04,2.33,0.89,19.9,79.9,14.3,53.8,0.75,2.36,12.44,11.79,0.83
600683.SH,京投发展,-7.36,-5.88,-28.36,-7.23,-376.69,-0.42,,0.0,55.5,-4.32,91.13,0.75,扣非亏损,扣非亏损,亏损,-0.25
601108.SH,财通证券,15.19,14.36,1.12,5.43,5.51,,1.96,0.0,44.37,2.27,74.78,0.75,6.34,5.29,5.52,0.94
601898.SH,中煤能源,10.09,9.84,1.07,8.01,8.07,5.64,3.93,28.62,-14.11,-7.46,45.82,0.74,-1.32,1.23,1.25,1.55
000797.SZ,中国武夷,-24.26,-22.67,0.95,-2.98,-2.88,-0.09,,0.0,-326.5,-4.78,76.8,0.74,扣非亏损,扣非亏损,亏损,-0.26
920029.BJ,开发科技,16.62,17.75,3.43,20.37,17.77,14.55,,0.0,22.62,26.28,21.03,0.74,0.68,1.74,1.87,1.31
002024.SZ,ST易购,145.93,-6.6,1.13,-15.79,0.59,1.92,,0.0,-135.3,-23.4,90.14,0.73,扣非亏损,扣非亏损,494.67,-0.27
600864.SH,哈投股份,18.44,22.42,1.01,3.99,4.16,1.54,0.68,0.0,161.12,1.81,72.17,0.72,12.41,11.24,8.86,0.81
300737.SZ,科顺股份,276.0,-23.5,1.64,-1.22,0.42,0.57,7.5,125.0,-1624.52,-3.92,69.17,0.71,扣非亏损,扣非亏损,657.15,-0.29
600369.SH,西南证券,31.57,33.62,1.15,2.64,2.72,,1.82,16.67,39.64,-0.6,73.14,0.71,-56.47,12.72,11.61,0.79
