股票代码,股票简称,美股@最新价,美股@最新涨跌幅,美股@gics行业(三级),美股@所属概念,美股@总市值[20230919],美股@gics行业(一级),美股@gics行业(二级),美股@gics行业(四级),美股@上市日期,美股@总股本[20230919],美股@流通股[20230919],美股@上市板块,market_code,code
SVRE.O,SaverOne 2014,0.750,6.250,软件,,4913848.47,信息技术,软件与服务,应用软件,20220603,5780998.2,5780998.2,Nasdaq Capital Market,186,SVRE
TAOP.O,淘屏,2.490,-3.113,软件,"NFT概念[US],中概股指数[US],美国中资概念股",4909836.78,信息技术,软件与服务,系统软件,20121031,1971822.0,1971822.0,Nasdaq Capital Market,186,TAOP
VERB.O,Verb Technology,1.090,-2.679,软件,,4906460.6,信息技术,软件与服务,应用软件,20190405,4501340.0,4501340.0,Nasdaq Capital Market,186,VERB
QLGN.O,Qualigen治疗,0.984,-5.825,制药,,4900889.11,医疗保健,制药、生物科技和生命科学,制药,20150624,5052463.0,5052463.0,Nasdaq Capital Market,186,QLGN
FEMY.O,Femasys,0.320,-1.841,医疗保健提供商与服务,,4823408.96,医疗保健,医疗保健设备与服务,保健护理服务,20210618,15073153.0,15073153.0,Nasdaq Capital Market,186,FEMY
HSDT.O,Helius Medical,8.450,-3.318,医疗保健设备与用品,,4816500.0,医疗保健,医疗保健设备与服务,医疗保健设备,20180411,570000.0,570000.0,Nasdaq Capital Market,186,HSDT
HSCS.O,Heart Test,0.421,-36.599,医疗保健设备与用品,,4805231.2,医疗保健,医疗保健设备与服务,医疗保健设备,20220615,10920980.0,10920980.0,Nasdaq Capital Market,186,HSCS
BON.O,天美生物,0.459,-4.222,制药,"美国中资概念股,中概股指数[US]",4804023.406,医疗保健,制药、生物科技和生命科学,制药,20210624,11146226.0,11146226.0,Nasdaq Capital Market,186,BON
OTRK.O,Ontrak,0.970,-0.513,医疗保健提供商与服务,,4768389.05,医疗保健,医疗保健设备与服务,保健护理服务,20170426,4915865.0,4915865.0,Nasdaq Capital Market,186,OTRK
AULT.A,Ault Alliance,0.633,-6.818,电气设备,,4759628.91,工业,资本品,重型电气设备,19961217,7739234.0,7739234.0,主板,170,AULT
CNXA.O,Connexa Sports,0.197,159.211,休闲设备与用品,,4757260.804,非日常生活消费品,耐用消费品与服装,休闲用品,20220615,24148532.0,24148532.0,Nasdaq Capital Market,186,CNXA
BLPH.O,柏勒罗丰治疗,0.388,-5.366,制药,,4746267.424,医疗保健,制药、生物科技和生命科学,制药,20150213,12232648.0,12232648.0,Nasdaq Global Market,185,BLPH
ENVB.O,Enveric Biosciences,2.150,-6.466,制药,,4734749.04,医疗保健,制药、生物科技和生命科学,制药,20171117,2181912.0,2181912.0,Nasdaq Capital Market,186,ENVB
ONFO.O,Onfolio Holdings,0.920,-2.748,互动媒体与服务,,4701379.4,通讯业务,媒体与娱乐,互动媒体与服务,20220826,5110195.0,5110195.0,Nasdaq Capital Market,186,ONFO
ENSC.O,Ensysce Biosciences,1.670,-4.651,生物科技,,4696451.6,医疗保健,制药、生物科技和生命科学,生物科技,20210702,2863690.0,2863690.0,Nasdaq Capital Market,186,ENSC
AGFY.O,Agrify,2.820,-1.027,机械制造,,4690316.83,工业,资本品,农用农业机械,20210128,1622947.0,1622947.0,Nasdaq Capital Market,186,AGFY
RDHL.O,Redhill Biopharma,0.800,-1.356,制药,,4683622.4,医疗保健,制药、生物科技和生命科学,制药,20121226,5854528.0,5854528.0,Nasdaq Capital Market,186,RDHL
BKYI.O,Bio-key国际,0.505,-2.317,软件,指纹技术[US],4683159.536,信息技术,软件与服务,应用软件,20170725,9255256.0,9255256.0,Nasdaq Capital Market,186,BKYI
DUO.O,房多多,1.020,-8.108,互动媒体与服务,"SEC确定摘牌名单[US],美国中资概念股,中概股指数[US],房地产服务[US]",4648806.072546,通讯业务,媒体与娱乐,互动媒体与服务,20191101,4557653.0123,4557653.0123,Nasdaq Global Market,185,DUO
IMTE.O,综合媒体科技,0.228,-1.322,家庭耐用消费品,"NFT概念[US],电子元件[US]",4634068.768,非日常生活消费品,耐用消费品与服装,消费电子产品,20170811,20687807.0,20687807.0,Nasdaq Capital Market,186,IMTE
WTO.O,联代科技,0.340,2.719,电脑与外围设备,"美国中资概念股,消费电子[US],中概股指数[US]",4613049.62,信息技术,技术硬件与设备,电脑硬件、储存设备及电脑周边,20210406,13567793.0,13567793.0,Nasdaq Capital Market,186,WTO
BPTH.O,Bio-Path Holdings,0.402,4.416,制药,,4606985.928,医疗保健,制药、生物科技和生命科学,制药,20140310,11460164.0,11460164.0,Nasdaq Capital Market,186,BPTH
MICS.O,The Singing Machine,1.050,3.810,家庭耐用消费品,,4600082.31,非日常生活消费品,耐用消费品与服装,消费电子产品,20220524,4220259.0,4220259.0,Nasdaq Capital Market,186,MICS
REVB.O,Revelation,0.700,0.552,生物科技,,4590733.887,医疗保健,制药、生物科技和生命科学,生物科技,20201117,6297303.0,6297303.0,Nasdaq Capital Market,186,REVB
SCNI.O,Scinai,0.970,-1.020,制药,,4585119.19,医疗保健,制药、生物科技和生命科学,制药,20150512,4726927.0,4726927.0,Nasdaq Capital Market,186,SCNI
TGL.O,Treasure Global,0.260,-5.455,软件,,4569195.8,信息技术,软件与服务,应用软件,20220811,17573830.0,17573830.0,Nasdaq Capital Market,186,TGL
YTEN.O,Yield10 Bioscience,0.384,3.226,生物科技,,4548366.72,医疗保健,制药、生物科技和生命科学,生物科技,20061110,11844705.0,11844705.0,Nasdaq Capital Market,186,YTEN
SNOA.O,Sonoma制药,0.880,-3.297,医疗保健设备与用品,,4525636.72,医疗保健,医疗保健设备与服务,医疗保健用品,20070125,5142769.0,5142769.0,Nasdaq Capital Market,186,SNOA
GRI.O,GRI Bio,1.460,4.498,制药,,4464094.54,医疗保健,制药、生物科技和生命科学,制药,20210210,2956354.0,2956354.0,Nasdaq Capital Market,186,GRI
WISA.O,WiSA Technologies,0.660,-3.179,半导体产品与设备,,4408571.19,信息技术,半导体产品与设备,半导体材料与设备,20180727,6579957.0,6579957.0,Nasdaq Capital Market,186,WISA
NAOV.O,NanoVibronix,2.650,-1.487,医疗保健设备与用品,,4405174.5,医疗保健,医疗保健设备与服务,医疗保健设备,20171102,1662330.0,1662330.0,Nasdaq Capital Market,186,NAOV
ARTL.O,Artelo Biosciences,1.510,2.027,制药,,4357388.88,医疗保健,制药、生物科技和生命科学,制药,20190621,2885688.0,2885688.0,Nasdaq Capital Market,186,ARTL
NCPL.O,Netcapital,0.460,-2.128,金融服务,,4339700.72,金融,金融服务,特殊金融服务,20220713,9434132.0,9434132.0,Nasdaq Capital Market,186,NCPL
BTTR.A,Better Choice,0.135,0.000,医疗保健提供商与服务,,4330954.98,医疗保健,医疗保健设备与服务,保健护理机构,20210629,32081148.0,32081148.0,主板,170,BTTR
ABVC.O,ABVC BioPharma,1.090,2.830,制药,,4307012.92,医疗保健,制药、生物科技和生命科学,制药,20210803,3951388.0,3951388.0,Nasdaq Capital Market,186,ABVC
AGRI.O,AgriFORCE Growing,0.107,0.000,软件,农产品[US],4284842.285,信息技术,软件与服务,系统软件,20210708,40045255.0,40045255.0,Nasdaq Capital Market,186,AGRI
APVO.O,Aptevo Therapeutics,0.370,-4.145,生物科技,,4263774.92,医疗保健,制药、生物科技和生命科学,生物科技,20160801,11523716.0,11523716.0,Nasdaq Global Select Market,185,APVO
RHE.A,Regional Health,2.200,0.000,医疗保健REIT,,4142661.6,房地产,房地产投资信托（REITs）,医疗保健REIT,20171002,1883028.0,1883028.0,主板,170,RHE
TIRX.O,天睿祥,1.260,-14.865,保险,"美国中资概念股,中概股指数[US]",4126178.7,金融,保险,保险经纪商,20210127,3274745.0,3274745.0,Nasdaq Capital Market,186,TIRX
AIHS.O,森淼科技,0.470,1.400,消费信贷,"中概股指数[US],美国中资概念股",4090496.28,金融,金融服务,消费信贷,20180316,8068040.0,8068040.0,Nasdaq Capital Market,186,AIHS
ITP.A,互联网科技包装,0.407,-0.734,纸类与林业产品,"中概股指数[US],美国中资概念股",4086763.52,原材料,原材料,纸制品,20091217,10065920.0,10065920.0,主板,170,ITP
HILS.O,Hillstream BioPharma,0.229,-0.435,制药,,4031010.285,医疗保健,制药、生物科技和生命科学,制药,20220112,17602665.0,17602665.0,Nasdaq Capital Market,186,HILS
WTER.O,The Alkaline Water,0.386,2.387,饮料,,4012780.73,日常消费品,食品、饮料与烟草,软饮料与不含酒精饮料,20181210,10395805.0,10395805.0,Nasdaq Capital Market,186,WTER
TNON.O,Tenon Medical,0.176,-2.222,医疗保健设备与用品,,3979862.656,医疗保健,医疗保健设备与服务,医疗保健设备,20220427,22612856.0,22612856.0,Nasdaq Capital Market,186,TNON
