证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占比,资产负债率,扣非PEG,扣非市赚率,市赚率
301261.SZ,恒工精密,29.49,34.35,2.42,4.87,6.31,4.74,0.97,32.37,24.89,12.86,-1.97,22.31,,47.1,1.54,7.06,4.67
688612.SH,威迈斯,29.27,23.88,3.48,8.1,8.59,4.98,1.54,50.15,19.7,6.98,2.24,85.1,0.16,55.51,0.28,2.95,3.41
000726.SZ,鲁泰A,13.88,12.27,0.58,3.79,3.1,2.85,2.01,48.2,24.4,6.78,15.87,9.54,0.21,29.92,1.29,3.24,4.48
300430.SZ,诚益通,38.38,41.84,2.25,4.23,4.44,3.46,0.39,8.17,40.54,12.14,-24.09,15.61,23.24,36.5,2.68,9.9,8.65
603355.SH,莱克电气,11.98,13.09,2.64,17.7,18.22,6.34,,142.79,24.0,12.15,11.49,9.04,11.86,59.1,1.45,0.74,0.66
301039.SZ,中集车辆,17.7,20.55,1.42,5.67,5.74,4.3,,72.33,15.77,5.42,-41.72,-1.34,3.02,39.46,-15.32,3.62,3.08
600062.SH,华润双鹤,12.26,15.48,2.24,11.81,12.39,9.96,1.38,9.93,58.46,16.52,23.91,5.68,8.34,34.19,2.73,1.31,0.99
000623.SZ,吉林敖东,13.67,16.84,0.78,4.29,4.41,4.03,3.96,44.5,39.12,63.81,0.92,15.69,,11.05,1.07,3.93,3.1
688016.SH,心脉医疗,18.66,22.99,3.54,12.98,14.38,14.18,1.54,50.4,75.5,56.44,37.37,36.32,12.11,13.99,0.63,1.77,1.3
002745.SZ,木林森,26.68,28.35,1.0,2.69,2.68,2.01,3.9,203.66,27.95,2.97,18.41,0.66,13.62,45.95,42.63,10.53,9.96
601696.SH,中银证券,38.79,49.71,1.92,3.46,3.77,,0.33,11.13,,34.4,-15.66,-3.04,,76.16,-16.37,14.35,10.29
600737.SH,中粮糖业,13.8,11.49,1.94,9.77,10.1,7.13,10.56,49.6,10.22,5.23,-17.66,16.23,1.54,41.86,0.71,1.18,1.37
002352.SZ,顺丰控股,21.17,25.81,2.37,7.35,8.34,5.32,1.49,39.91,13.96,3.71,21.58,20.09,9.43,52.59,1.29,3.51,2.54
002338.SZ,奥普光电,207.77,390.18,9.73,2.91,3.63,4.18,0.07,7.04,36.52,14.69,-48.28,20.7,18.33,26.16,18.85,134.3,57.24
603273.SH,天元智能,116.6,128.33,4.73,2.37,3.03,1.71,0.4,32.27,13.6,5.87,-53.88,-14.01,,37.75,-9.16,54.14,38.48
300304.SZ,云意电气,18.22,20.14,2.55,9.93,10.99,9.41,0.88,8.14,32.54,21.34,64.46,26.69,0.56,22.15,0.75,2.03,1.66
301028.SZ,东亚机械,18.22,22.91,3.09,12.32,13.28,10.05,0.85,31.8,32.38,20.43,39.96,8.15,,35.97,2.81,1.86,1.37
600926.SH,杭州银行,4.42,5.0,0.76,11.23,13.51,,5.19,22.2,,48.68,19.98,12.28,,93.42,0.41,0.45,0.33
605319.SH,无锡振华,15.36,14.42,2.22,10.94,11.05,6.97,2.09,31.49,24.91,14.47,57.34,15.08,,49.83,0.96,1.32,1.39
