股票代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占净资产比例,资产负债率,扣非PEG,扣非市赚率,市赚率
300573.SZ,兴齐眼药,41.96,46.11,9.99,17.46,16.03,16.04,2.19,51.51,78.38,20.2,63.31,30.27,,25.53,1.52,2.64,2.62
301209.SZ,联合化学,37.24,40.31,3.03,6.25,6.24,5.33,0.48,23.06,19.63,11.23,105.9,27.37,,11.84,1.47,6.45,5.97
301448.SZ,开创电气,31.45,39.17,3.29,7.18,8.02,6.6,1.11,35.47,24.27,9.41,27.41,32.21,,18.41,1.22,5.45,3.92
301550.SZ,斯菱股份,31.24,33.47,3.36,7.75,8.29,6.37,0.86,11.64,32.59,24.58,22.5,5.06,,18.72,6.62,4.32,3.77
600027.SH,华电国际,8.57,12.31,1.41,7.33,10.73,4.4,2.92,25.38,9.09,7.12,23.62,-6.52,0.44,61.74,-1.89,1.68,0.8
600352.SH,浙江龙盛,18.52,20.13,0.98,3.42,4.04,2.45,2.98,72.12,28.61,14.69,2.87,-2.03,0.36,49.89,-9.9,5.88,4.58
600794.SH,保税科技,18.86,21.21,1.79,6.53,7.1,6.43,2.08,34.08,45.58,28.34,-5.01,-40.44,0.53,26.7,-0.52,3.25,2.66
601098.SH,中南传媒,17.53,17.44,1.47,6.04,6.23,5.18,5.41,23.21,44.12,11.04,-22.62,1.72,0.39,40.07,10.13,2.89,2.81
603013.SH,亚普股份,15.4,15.14,1.87,9.14,9.15,6.86,2.31,9.98,15.44,7.06,-6.77,-8.66,,36.44,-1.75,1.66,1.68
603062.SH,麦加芯彩,25.25,40.03,2.36,5.59,6.63,5.59,4.0,80.34,20.52,10.04,-19.24,80.5,,31.81,0.5,7.17,3.81
603065.SH,宿迁联盛,227.62,279.6,1.76,0.14,0.57,0.27,0.73,46.5,12.74,1.11,-94.66,-2.15,0.53,42.49,-130.26,2011.54,399.32
603517.SH,绝味食品,21.45,27.35,1.88,6.25,6.31,7.28,1.86,61.45,30.56,8.43,15.73,-10.95,0.12,25.01,-2.5,4.38,3.4
603529.SH,爱玛科技,14.15,16.61,3.53,17.6,18.29,7.35,3.52,30.07,17.42,9.02,-0.03,0.05,0.08,63.03,339.76,0.94,0.77
603579.SH,荣泰健康,13.44,14.27,1.35,6.48,7.17,4.39,4.8,47.18,32.43,12.26,-5.54,-10.3,0.03,42.93,-1.38,2.2,1.87
603650.SH,彤程新材,38.93,55.12,6.91,10.41,12.87,6.94,1.77,47.59,25.44,18.66,8.18,10.45,12.68,56.82,5.28,5.29,3.02
688006.SH,杭可科技,24.21,27.94,2.29,6.54,7.21,3.67,1.79,24.66,29.96,14.07,-51.16,-19.27,,45.16,-1.45,4.27,3.36
688092.SH,爱科科技,27.88,26.67,3.08,8.11,8.33,6.6,1.66,35.01,43.57,15.47,-1.75,25.53,0.93,21.66,1.04,3.29,3.35
688188.SH,柏楚电子,43.16,49.86,7.94,13.53,14.07,15.12,0.99,30.03,81.63,59.42,30.97,31.19,0.33,6.43,1.6,3.69,3.07
688507.SH,索辰科技,-73.79,368.83,2.53,-2.67,-2.51,-3.82,0.28,-8.52,42.63,-89.58,-77.51,58.23,1.47,3.67,6.33,扣非亏损,亏损
688530.SH,欧莱新材,268.16,,4.18,1.02,1.5,1.37,,41.08,18.87,3.33,,-22.63,,16.14,,,178.77
000581.SZ,威孚高科,10.74,11.17,0.94,6.35,6.52,4.9,6.64,22.41,17.76,16.23,3.26,-1.5,0.6,27.07,-7.47,1.76,1.65
300622.SZ,博士眼镜,62.76,72.91,8.88,9.3,10.46,9.14,3.03,53.53,58.55,9.05,-21.98,1.09,1.52,37.67,67.07,7.84,6.0
300741.SZ,华宝股份,47.96,83.67,1.6,1.37,2.5,2.76,2.8,66.36,52.2,17.47,-56.65,-0.39,16.26,8.53,-212.8,61.04,19.19
300919.SZ,中伟股份,23.38,25.84,2.06,5.72,6.57,3.83,2.36,30.14,12.55,5.46,0.92,15.17,4.88,59.97,1.7,4.52,3.56
