证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,市盈率,市净率,EPS,ROE,每股净资产,股息率,资产负债率,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,沪深指数,所属概念,异动值
301018.SZ,申菱环境,27.15,63.88,24.01,5.26,7.01,1.37,5.11,32.16,2.54,0.560001513,6.8,9.468166224,0.83,46.9932716026,机械设备-通用设备-制冷空调设备,温控设备,机械设备,机械,专用性空调设备,空气环境调节设备，国内专用性空调领域主要企业之一,公司是专用性空调领域多项国家标准和行业标准制定的牵头企业或参与企业,中证2000,"高压快充,液冷服务器,军工,华为,节能环保,空气能热泵,抽水蓄能,节能减排,核电,储能,数据中心",2.469699861036225
000987.SZ,越秀资本,291.87,292.0,5.82,5.24,4.52,1.91,0.67,12.15,1.02,0.479086592,8.66,5.706328314,2.92,77.8029391065,非银金融-保险及其他-多元金融,资产管理,非银金融,金融,期货业务,国内首家上市的地方金控平台,从事证券、融资租赁、不良资产管理、私募基金等多元金融业务,中证500,"国企改革,小额贷款,寒武纪,新零售,独角兽,期货,粤港澳大湾区,地方国企改革,广东国企改革,MSCI,债转股(AMC),移动购物",1.4985713126824156
002073.SZ,软控股份,84.72,89.46,8.84,5.24,7.26,4.46,5.36,26.85,1.69,0.329217076,6.63,5.225539714,0.52,65.2702881728,机械设备-专用设备-其他专用设备,轮胎,汽车零部件,汽车,橡胶装备系统,橡胶装备行业龙头企业,国内轮胎橡胶行业软件龙头企业,中证2000,"电子标签,锂电池,智能制造,工业互联网,电子信息,工业4.0,宁德时代,知识产权保护,证金持股,传感器,物联网,现代服务业,新材料,年报预增,TMT",6.709379172257512
000839.SZ,ST国安,78.79,78.79,2.01,5.24,0.52,0.52,0.66,128.18,6.41,0.003920294,1.25,0.313658115,-,90.6346831117,通信-通信服务-通信服务Ⅲ,电信服务,通信,科技,信息服务,国内领先的增值电信服务企业,信息产业为主营的高科技上市企业，在广电行业具有较强的影响力,,"数字电视,国企改革,文化传媒,VR直播,虚拟现实,人工智能,富媒体,广播电视",0.5066085684447915
688508.SH,芯朋微,41.76,41.76,31.8,5.23,8.44,0.95,2.31,43.85,1.71,0.181285036,0.96,18.60623608,-,14.6471894255,电子-半导体及元件-集成电路设计,电源管理,半导体,科技,电源管理芯片,国内智能家电、移动数码电源等行业电源IC的重要供应商,国家工信部认定的集成电路设计企业、科技部认定的高新技术企业,中证1000,"汽车芯片,国家大基金持股,中芯国际,充电桩,集成电路,专精特新,芯片",2.0070211384344967
002929.SZ,润建股份,73.41,99.09,35.86,5.22,4.9,4.73,6.52,18.57,1.72,1.44863483,8.7,20.891680789,0.7,59.5135699177,通信-通信服务-通信服务Ⅲ,通信基建,通信,科技,通信技术服务业,网络管维领域龙头企业之一,通信网络管维领域规模最大的民营企业，具备数字化核心能力的新能源服务公司,中证1000,"智能交通,多模态AI,华为,大数据,工业互联网,云办公,人工智能,光伏,算力租赁,边缘计算,信创,跨境电商,虚拟电厂,储能,数据要素,一带一路,MR（混合现实）,智慧城市,无人机,5G,阿里巴巴,电力物联网,杭州亚运会,数据安全,充电桩,雄安新区,东数西算（算力）,元宇宙,网络切片,智慧灯杆,区块链,虚拟现实,百度,机器人,云计算,数据中心,智能电网",4.644006270577046
300701.SZ,森霸传感,19.41,22.79,8.06,5.22,6.27,0.62,3.22,40.37,2.47,0.199636081,7.19,3.262265124,-,28.8867374545,电子-光学光电子-光学元件,传感器,机械设备,机械,热释电红外传感器,热释电红外传感器行业领先企业,国内少数掌握热释电红外传感器核心技术并拥有知识产权的企业,,"物联网,节能照明,安防,智能家居,机器视觉,传感器,小米",1.0366112332046293
601696.SH,中银证券,286.13,286.13,10.3,5.21,3.98,6.36,2.25,31.77,1.66,0.324223507,5.36,6.197401761,0.29,73.558492058,非银金融-证券-证券Ⅲ,证券,非银金融,金融,证券业务,资产管理规模稳定在行业领军梯队,依托中国银行资源的综合性券商,中证500,"MSCI,期货",4.965021050837312
688702.SH,盛科通信-U,14.82,151.86,37.04,5.2,8.89,1.2,8.11,-625.59,6.4,-0.014801949,-0.26,5.783005241,-,23.4294255409,电子-半导体及元件-集成电路设计,射频,半导体,科技,0,0,中国商用以太网交换芯片市占率境内厂商排名第一,,"5G,国家大基金持股,芯片,数据中心",3.4362432176378954
002861.SZ,瀛通通讯,10.88,14.17,9.11,5.2,6.12,0.51,4.78,-44.13,1.72,-0.051608502,-0.96,5.303867908,-,47.9496021652,电子-消费电子-消费电子零部件及组装,声学电子,消费电子,科技,声学产品,通讯线材及电声产品行业内领先企业,致力于电声元器件的研发和制造，行业领先企业,,"增强现实,无线耳机,消费电子,智能制造,富士康,虚拟现实,小米,智能穿戴,无线充电,医疗器械,苹果,人工智能,比亚迪,元宇宙",0.9532829184718055
