isin,slug,name.originalValue,name.translations.others,name.translations.en,overview.lastPrice,changeToPrevDay,turnover,marketCapitalisation,overview.dateTimeLastPrice,market.originalValue,market.translations.de,market.translations.en,segment.originalValue,segment.translations.others,industrySector.originalValue,industrySector.translations.others,instrumentType.originalValue,instrumentType.translations.de,instrumentType.translations.en,securityType.originalValue,securityType.translations.de,securityType.translations.en,originCountry.originalValue,originCountry.translations.de,originCountry.translations.en,sector.originalValue,subsector.originalValue,subsector.translations.others,industrySector.translations.de,industrySector.translations.en,subsector.translations.de,subsector.translations.en,segment,sector,subsector,originCountry.translations.others
DE000A0D9PT0,mtu-aero-engines-ag,MTU AERO ENGINES NA O.N.,MTU Aero Engines AG,,226.0,0.8478357875,16626311.3,12163320000.0,2023-07-20T17:35:23+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,190,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Industrial,Heavy Machinery,,Sonstige deutsche Aktien,Other german shares,Schwermaschinen,Heavy Machinery,,,,
DE0008402215,hannover-rueck-se,HANNOVER RUECK SE NA O.N.,Hannover Rück SE,,192.95,0.8888888888,16568518.95,23269770000.0,2023-07-20T17:35:09+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,81,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Insurance,Re-Insurance,,Banken und Versicherungen,Bank/insurance,Rückversicherung,Re-Insurance,,,,
DE000PAG9113,porsche-ag-vz,DR.ING.H.C.F.PORSCHE VZOI,Porsche AG Vz,,112.45,-0.4867256638,16365993.8,102441950000.0,2023-07-20T17:39:06+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,91,,1003,Vorzugsaktien,Preffered shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Automobile,Automobile Manufacturers,,Fahrzeug- und Maschinenbau,Automotive and mechanical engineering,Automobilhersteller,Automobile Manufacturers,,,,
DE000LEG1110,leg-immobilien-se,LEG IMMOBILIEN SE NA O.N.,LEG Immobilien SE,,63.16,-0.8788449467,15536496.94,4680787600.0,2023-07-20T17:35:09+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,190,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Financial Services,Real Estate,,Sonstige deutsche Aktien,Other german shares,Immobilien,Real Estate,,,,
DE0007500001,thyssenkrupp-ag,THYSSENKRUPP AG O.N.,thyssenkrupp AG,,7.322,0.6598845202,15263176.34,4558164660.0,2023-07-20T17:38:54+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,101,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Industrial,"Industrial, Diversified",,Stahl,Steel,"Industrielle Produkte, diversifiziert","Industrial, Diversified",,,,
US64110L1061,netflix-com-inc,"NETFLIX INC. DL-,001",Netflix.com Inc.,,390.25,-8.7241258333,14883833.85,173797837500.0,2023-07-20T17:35:53+02:00,OPEN,Freiverkehr,Open Market,,,160,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,US,,,,,,Unterhaltung und Freizeit,Entertainment/Leisure,,,,,,USA
DE000EVNK013,evonik-industries-ag,EVONIK INDUSTRIES NA O.N.,Evonik Industries AG,,18.41,0.546149645,14845365.68,8579060000.0,2023-07-20T17:35:28+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,180,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Chemicals,"Chemicals, Specialty",,Holdinggesellschaften,Holding companies,Spezialchemikalien,"Chemicals, Specialty",,,,
IE000S9YS762,linde-plc-eo-001,"LINDE PLC EO -,001",,,340.8,1.0826041821,14448975.8,188125008000.0,2023-07-20T17:37:29+02:00,OPEN,Freiverkehr,Open Market,,,900,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,IE,Irland,Ireland,,,,Ausländische Aktien,Foreign shares,,,,,,
DE0005439004,continental-ag,CONTINENTAL AG O.N.,Continental AG,,71.74,-0.055725829,14174074.44,14348717400.0,2023-07-20T17:36:45+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,190,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Automobile,Auto Parts & Equipment,,Sonstige deutsche Aktien,Other german shares,Autoteile & Ausrüstung,Auto Parts & Equipment,,,,
NL0012169213,qiagen-n-v,"QIAGEN NV EO -,01",Qiagen N.V.,,41.05,0.3422146174,13923197.78,9475571500.0,2023-07-20T17:35:17+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,51,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,NL,Niederlande,Netherlands ,Pharma & Healthcare,Biotechnology,,Chemie und Pharmazeutik,Chemistry/pharmacy,Biotechnologie,Biotechnology,,,,
